Covariance Matrix:
0.969939 0.003466 -0.003316 0.005014
Element [0,3]: -0.000041, 0.016932
Element [1,0]: -0.000358, 0.012981
Element [1,1]: 1.001061, 1.023020
Element [1,2]: 0.006234, 0.023226
Element [1,3]: 0.001947, 0.016494
Element [2,0]: 0.001207, 0.017247
Element [2,1]: 0.006234, 0.023226
Element [2,2]: 1.005551, 1.024339
Element [2,3]: 0.004839, 0.020373
Element [3,0]: -0.000041, 0.016932
Element [3,1]: 0.001947, 0.016494
Element [3,2]: 0.004839, 0.020373
Element [3,3]: 1.015189, 1.038341

Covariance Matrix:
1.013585 0.001679 -0.001420 -0.012730
0.001679 1.027086 -0.010277 -0.008340
-0.001420 -0.010277 0.983184 0.003421
-0.012730 -0.008340 0.003421 1.010146
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.003504, 1.023574
Element [0,1]: -0.005307, 0.009146
Element [0,2]: -0.008623, 0.005082
Element [0,3]: -0.019666, -0.004787
Element [1,0]: -0.005307, 0.009146
Element [1,1]: 1.017125, 1.037922
Element [1,2]: -0.018827, -0.003434
Element [1,3]: -0.015623, -0.002577
Element [2,0]: -0.008623, 0.005082
Element [2,1]: -0.018827, -0.003434
Element [2,2]: 0.973833, 0.993233
Element [2,3]: -0.004218, 0.010311
Element [3,0]: -0.019666, -0.004787
Element [3,1]: -0.015623, -0.002577
Element [3,2]: -0.004218, 0.010311
Element [3,3]: 0.999413, 1.019612

Covariance Matrix:
1.064887 0.003010 -0.003984 0.011034
0.003010 1.021548 0.008831 0.002283
-0.003984 0.008831 1.020348 0.007138
0.011034 0.002283 0.007138 1.050822
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.053488, 1.074821
Element [0,1]: -0.004940, 0.012494
Element [0,2]: -0.011703, 0.003185
Element [0,3]: 0.003783, 0.018815
Element [1,0]: -0.004940, 0.012494
Element [1,1]: 1.012553, 1.030670
Element [1,2]: 0.000701, 0.015665
Element [1,3]: -0.004852, 0.008833
Element [2,0]: -0.011703, 0.003185
Element [2,1]: 0.000701, 0.015665
Element [2,2]: 1.009850, 1.030381
Element [2,3]: -0.000433, 0.013176
Element [3,0]: 0.003783, 0.018815
Element [3,1]: -0.004852, 0.008833
Element [3,2]: -0.000433, 0.013176
Element [3,3]: 1.042197, 1.059457

Covariance Matrix:
0.994365 -0.003539 0.008663 0.007897
-0.003539 0.984196 -0.016224 0.023279
0.008663 -0.016224 0.965774 -0.038429
0.007897 0.023279 -0.038429 1.002414
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.984037, 1.003863
Element [0,1]: -0.010887, 0.003912
Element [0,2]: 0.001309, 0.016709
Element [0,3]: -0.000981, 0.015140
Element [1,0]: -0.010887, 0.003912
Element [1,1]: 0.973420, 0.993996
Element [1,2]: -0.023293, -0.009370
Element [1,3]: 0.016002, 0.030757
Element [2,0]: 0.001309, 0.016709
Element [2,1]: -0.023293, -0.009370
Element [2,2]: 0.955190, 0.976355
Element [2,3]: -0.046270, -0.030383
Element [3,0]: -0.000981, 0.015140
Element [3,1]: 0.016002, 0.030757
Element [3,2]: -0.046270, -0.030383
Element [3,3]: 0.992920, 1.012332

