node1,node2,flow,betweenness,degree,class
12181,24589,1.0,2.7362840818889926e-09,2,1
9893,11242,1.0,1.915398857322295e-08,5,1
9891,21816,1.0,2.7362840818889926e-09,2,1
9901,21825,1.0,2.7362840818889926e-09,2,1
12170,24578,1.0,2.7362840818889926e-09,2,1
12155,24553,1.0,8.208852245666977e-09,3,1
9920,21837,1.0,2.7362840818889926e-09,2,1
5823,17413,1.0,2.7362840818889926e-09,2,1
9919,21836,1.0,2.7362840818889926e-09,2,1
9918,21835,1.0,2.7362840818889926e-09,2,1
12157,24568,1.0,2.7362840818889926e-09,2,1
5826,17418,1.0,2.7362840818889926e-09,2,1
2979,15162,1.0,2.7362840818889926e-09,2,1
12163,24572,1.0,5.472568163777985e-09,3,1
12165,24574,1.0,2.7362840818889926e-09,2,1
9905,21828,1.0,5.472568163777985e-09,3,1
12166,24576,1.0,2.7362840818889926e-09,2,1
12167,24577,1.0,2.7362840818889926e-09,2,1
12168,15383,1.0,6.840710204722482e-09,6,1
5836,17432,1.0,2.7362840818889926e-09,2,1
5750,17346,1.0,8.208852245666977e-09,4,1
5752,10155,1.0,2.7362840818889927e-08,4,1
12066,24448,1.0,2.7362840818889926e-09,2,1
12067,24449,1.0,2.7362840818889926e-09,2,1
12069,24450,1.0,2.7362840818889926e-09,2,1
9991,21915,1.0,2.7362840818889926e-09,2,1
12073,24455,1.0,8.208852245666977e-09,3,1
9989,21911,1.0,2.7362840818889926e-09,2,1
5757,17354,1.0,2.7362840818889926e-09,2,1
12075,24458,1.0,2.7362840818889926e-09,2,1
12077,24462,1.0,2.7362840818889926e-09,2,1
9983,13446,1.0,2.596737496246834e-06,5,1
12078,24465,1.0,2.7362840818889926e-09,2,1
5794,17379,1.0,2.7362840818889926e-09,2,1
8900,9993,-1.0,4.104426122833489e-09,5,1
9281,12051,-1.0,8.208852245666977e-09,5,1
10003,17340,1.0,8.208852245666977e-09,6,1
5744,17337,1.0,2.7362840818889926e-09,2,1
12053,24438,1.0,2.7362840818889926e-09,2,1
12054,24439,1.0,2.7362840818889926e-09,2,1
10001,21930,1.0,2.7362840818889926e-09,2,1
12059,16514,1.0,8.208852245666977e-09,3,1
9998,21924,1.0,2.7362840818889926e-09,2,1
9997,14664,1.0,1.4270362808135243e-06,6,1
9996,21921,1.0,2.7362840818889926e-09,2,1
9982,14080,1.0,5.472568163777985e-09,3,1
12081,24473,1.0,2.7362840818889926e-09,2,1
9980,21903,1.0,2.7362840818889926e-09,2,1
12099,24487,1.0,2.7362840818889926e-09,2,1
12100,24488,1.0,2.7362840818889926e-09,2,1
8184,9965,-1.0,1.094513632755597e-08,5,1
9964,11831,1.0,5.472568163777985e-09,3,1
12105,24492,1.0,8.208852245666977e-09,3,1
12106,24493,1.0,2.7362840818889926e-09,2,1
9962,21881,1.0,8.208852245666977e-09,3,1
9067,12110,-1.0,5.472568163777985e-09,3,1
9961,21880,1.0,2.7362840818889926e-09,2,1
9960,21877,1.0,2.7362840818889926e-09,2,1
5791,17378,1.0,2.7362840818889926e-09,2,1
12116,24499,1.0,2.7362840818889926e-09,2,1
12117,24500,1.0,2.7362840818889926e-09,2,1
12096,24484,1.0,2.7362840818889926e-09,2,1
5418,9967,-1.0,8.208852245666977e-09,4,1
12083,18728,1.0,5.472568163777985e-09,3,1
12085,24477,1.0,3.55716930645569e-08,3,1
3080,3439,1.0,1.516024925908044e-06,4,1
9976,21899,1.0,5.472568163777985e-09,3,1
5774,17362,1.0,5.472568163777985e-09,3,1
12093,24483,1.0,2.7362840818889926e-09,2,1
6129,9974,-1.0,5.7461965719668845e-08,5,1
9973,16798,1.0,2.7362840818889926e-09,4,1
12090,20079,1.0,2.7362840818889926e-09,6,1
12092,24481,1.0,2.7362840818889926e-09,2,1
3074,6395,1.0,1.6417704491333955e-08,5,1
12304,24738,1.0,2.7362840818889926e-09,2,1
12263,24681,1.0,2.7362840818889926e-09,2,1
12264,24683,1.0,8.208852245666977e-09,3,1
9816,21704,1.0,2.7362840818889926e-09,2,1
2796,12852,1.0,1.6417704491333955e-08,3,1
12267,24686,1.0,2.7362840818889926e-09,2,1
9815,21702,1.0,2.7362840818889926e-09,2,1
12269,15192,1.0,2.7362840818889926e-09,4,1
12270,19859,1.0,1.915398857322295e-08,3,1
12271,24688,1.0,2.7362840818889926e-09,2,1
12272,21429,1.0,4.104426122833489e-09,5,1
9812,14539,1.0,4.163123076860716e-07,5,1
2787,4703,1.0,1.094513632755597e-08,5,1
5963,17541,1.0,2.7362840818889926e-09,2,1
9809,21698,1.0,2.7362840818889926e-09,2,1
7730,9828,-1.0,8.208852245666977e-09,4,1
5925,17507,1.0,2.7362840818889926e-09,2,1
5926,17509,1.0,2.7362840818889926e-09,2,1
5927,7123,1.0,6.293453388344683e-08,4,1
12250,24667,1.0,2.7362840818889926e-09,2,1
12251,24668,1.0,2.7362840818889926e-09,2,1
9821,21718,1.0,5.472568163777985e-09,3,1
12252,24670,1.0,2.7362840818889926e-09,2,1
12254,24671,1.0,5.472568163777985e-09,3,1
5942,17521,1.0,2.7362840818889926e-09,2,1
5945,15274,1.0,2.7362840818889926e-09,4,1
12259,24680,1.0,2.7362840818889926e-09,2,1
9810,21699,1.0,2.7362840818889926e-09,2,1
12274,24693,1.0,1.094513632755597e-08,3,1
9782,10525,1.0,1.094513632755597e-08,4,1
2757,15040,1.0,2.7362840818889926e-09,2,1
12291,20124,1.0,1.094513632755597e-08,3,1
9781,21663,1.0,2.7362840818889926e-09,2,1
9777,21660,1.0,2.7362840818889926e-09,2,1
12295,24724,1.0,2.7362840818889926e-09,2,1
9775,21658,1.0,2.7362840818889926e-09,2,1
9774,21656,1.0,2.7362840818889926e-09,2,1
9773,21655,1.0,2.7362840818889926e-09,2,1
12297,24728,1.0,2.7362840818889926e-09,2,1
12300,24730,1.0,2.7362840818889926e-09,2,1
12301,24731,1.0,2.7362840818889926e-09,2,1
