node1,node2,flow,betweenness,degree,class
135,1338,0.0231660231660231,2.2328073544210432e-05,327,0
135,2217,0.0038610038610038,0.00014156835423205424,266,0
135,2292,0.0154440154440154,7.500384378892552e-05,300,0
135,2312,0.0077220077220077,2.950918863904791e-05,279,0
135,2443,0.0115830115830115,3.7769415105204656e-05,217,0
135,3035,0.0038610038610038,3.4595842120127954e-05,260,0
135,3137,0.0038610038610038,2.4390473976829046e-05,252,0
135,3138,0.0038610038610038,0.0001183818637072263,280,0
135,3141,0.0077220077220077,0.00020382617280141033,299,0
135,3142,0.0115830115830115,2.5716266209007047e-05,261,0
135,3143,0.0038610038610038,0.00011727563536899021,313,0
135,3144,0.0077220077220077,0.0001191055044889597,284,0
135,3162,0.0038610038610038,0.00012459731090137666,264,0
135,3167,0.0193050193050193,4.7574183928110266e-05,261,0
135,3507,0.0115830115830115,4.1187938770808374e-05,257,0
135,3508,0.0154440154440154,3.645593017128697e-05,309,0
135,3976,0.0038610038610038,2.4038359230441698e-05,225,0
135,3977,0.0077220077220077,2.9419740186955647e-05,219,0
135,4024,0.0038610038610038,5.625317330492539e-05,270,0
135,4032,0.0038610038610038,2.0443817558945206e-05,236,0
135,4040,0.0154440154440154,3.425235342724601e-05,220,0
135,4046,0.0077220077220077,1.9725151942093833e-05,254,0
135,4377,0.0038610038610038,0.0001607338287031455,316,0
135,5708,0.0501930501930501,2.0806511724034566e-05,313,0
135,5710,0.0038610038610038,0.00025952507963641734,241,0
135,5714,0.0115830115830115,0.00011518205852090157,285,0
135,5717,0.0115830115830115,7.829001950108666e-05,271,0
135,5725,0.0077220077220077,2.4315289024976786e-05,257,0
135,5791,0.0077220077220077,0.00010109571627568386,286,0
135,5836,0.0038610038610038,3.5091416951524475e-05,223,0
135,5840,0.0154440154440154,2.1690851517878423e-05,253,0
137,2726,0.1478599221789883,1.0777355313814677e-06,40,1
137,4068,0.2684824902723735,7.189524952480625e-07,51,1
139,319,0.0310077519379844,4.543602848807782e-07,85,1
139,587,0.0348837209302325,2.2556483481428176e-07,70,1
139,806,0.0581395348837209,2.9940205366653544e-07,97,1
139,2601,0.0077519379844961,4.727519045472317e-07,87,1
139,2734,0.0542635658914728,2.3691355241714537e-07,81,1
139,2736,0.0077519379844961,6.815707529184523e-07,84,1
139,2920,0.0271317829457364,2.121072125608327e-07,89,1
139,3070,0.003875968992248,1.110331633913629e-06,60,1
139,3207,0.0271317829457364,2.0672036111795183e-07,67,1
139,3208,-0.0117490310077519,4.990936372946711e-07,88,1
139,3210,0.0930232558139534,2.5651717591406496e-07,89,1
139,3211,0.0155038759689922,1.5645839378525593e-07,84,1
139,3822,0.003875968992248,8.753136632386634e-07,85,1
139,4100,0.0620155038759689,1.5993739200125862e-07,76,1
139,4558,0.0348837209302325,4.641199300574998e-07,97,1
82,140,-0.0039215686274509,3.207772385818048e-05,230,0
140,1608,0.0235294117647058,3.769676705486439e-05,253,0
140,1896,0.0274509803921568,0.00020396910592956644,220,0
140,2095,0.0039215686274509,3.6630700200430636e-05,230,0
140,3635,0.0392156862745098,2.7579571253240527e-05,229,0
140,6335,0.0235294117647058,2.6654394460321675e-05,266,0
140,6342,0.0078431372549019,1.9301869058239272e-05,219,0
140,6484,0.0117647058823529,4.3872377089677066e-05,232,0
140,6595,0.0392156862745098,4.801325227066535e-05,262,0
141,2749,0.00390625,3.45403694162588e-05,238,0
141,6210,0.00390625,2.5912032450415532e-05,250,0
142,2504,0.0948909931733098,7.855259474069669e-07,37,1
142,4148,0.0557096516383808,2.917803961502334e-07,38,1
142,5000,-0.0480420555734363,1.3474365995619563e-07,44,1
143,1592,0.3392857142857143,6.418142529109595e-07,52,1
143,2011,0.0892857142857142,7.331242055409123e-07,25,1
143,2468,0.1964285714285714,6.254673780806523e-07,49,1
143,4159,0.0714285714285714,3.1198933800845144e-07,41,1
143,6279,0.0357142857142857,9.519894296803029e-07,26,1
143,6284,0.0714285714285714,6.489170676299148e-07,60,1
144,4178,0.0055555555555555,6.803142226526894e-07,39,1
145,494,-0.0376533296887279,8.010082155183165e-07,87,1
145,1233,-0.0078577461389961,3.547211046056514e-07,60,1
145,2014,0.0231660231660231,6.147379373777154e-07,83,1
145,2319,0.0308279374427234,4.813510070136826e-07,79,1
145,2356,-0.0395790748731925,2.0623678228938653e-07,63,1
145,4190,0.0501930501930501,2.6145719555449027e-07,85,1
145,4200,0.0193050193050193,4.499634803261969e-07,96,1
145,4546,0.0038610038610038,6.903404560997307e-07,87,1
145,5507,0.0386100386100386,1.6064139762636596e-07,72,1
