node1,node2,flow,degree,class
12120,24502,1.0,3,1
12121,24503,1.0,3,1
5800,17385,1.0,3,1
9952,21870,1.0,2,1
9951,21869,1.0,3,1
3032,15195,1.0,4,1
12126,24511,1.0,3,1
9949,21866,1.0,4,1
12128,24512,1.0,2,1
5807,17393,1.0,4,1
9943,21861,1.0,2,1
12130,24520,1.0,2,1
9942,21860,1.0,2,1
12131,20560,1.0,4,1
9940,21856,1.0,2,1
3017,9905,1.0,3,1
12132,24522,1.0,2,1
12133,24524,1.0,2,1
12153,24552,1.0,3,1
5862,17451,1.0,2,1
12171,24579,1.0,2,1
2959,15142,1.0,4,1
9900,21824,1.0,2,1
9010,12172,-1.0,4,1
9899,21823,1.0,2,1
2956,15139,1.0,2,1
12175,24582,1.0,2,1
12176,24583,1.0,2,1
12177,24586,1.0,2,1
12178,24587,1.0,3,1
9898,21822,1.0,3,1
9897,19635,1.0,3,1
12180,24588,1.0,2,1
2947,15131,1.0,2,1
12181,24589,1.0,2,1
8038,9894,-1.0,4,1
9893,11242,1.0,5,1
12183,21922,1.0,3,1
5857,17446,1.0,3,1
12185,24592,1.0,3,1
9891,21816,1.0,2,1
5860,17450,1.0,3,1
9901,21825,1.0,2,1
5837,17433,1.0,5,1
12170,24578,1.0,2,1
12155,24553,1.0,3,1
9920,21837,1.0,2,1
5823,17413,1.0,2,1
9919,21836,1.0,2,1
9918,21835,1.0,2,1
777,2982,-1.0,28,0
12157,24568,1.0,2,1
5826,17418,1.0,2,1
2979,15162,1.0,2,1
12158,17510,1.0,3,1
11077,12159,-1.0,4,1
2976,15160,1.0,3,1
12161,17399,1.0,3,1
12163,24572,1.0,3,1
9909,14132,1.0,5,1
12165,24574,1.0,2,1
9905,21828,1.0,3,1
9850,9903,-1.0,4,1
12166,24576,1.0,2,1
12167,24577,1.0,2,1
5836,17432,1.0,2,1
12118,13308,1.0,4,1
4515,5796,-1.0,4,1
5750,17346,1.0,4,1
5751,17347,1.0,3,1
3108,9384,1.0,4,1
5752,10155,1.0,4,1
12066,24448,1.0,2,1
12067,24449,1.0,2,1
12069,24450,1.0,2,1
12071,21010,1.0,4,1
9991,21915,1.0,2,1
12072,12979,1.0,4,1
12073,24455,1.0,3,1
3102,15233,1.0,5,1
9989,21911,1.0,2,1
5757,17354,1.0,2,1
3098,9818,1.0,4,1
12075,24458,1.0,2,1
5763,8971,1.0,4,1
12077,24462,1.0,2,1
9983,13446,1.0,5,1
12078,24465,1.0,2,1
12079,24466,1.0,5,1
12064,24445,1.0,3,1
12063,22390,1.0,5,1
5794,17379,1.0,2,1
8900,9993,-1.0,5,1
5739,11043,1.0,4,1
5741,17332,1.0,5,1
9281,12051,-1.0,5,1
5744,17337,1.0,2,1
12053,24438,1.0,2,1
12054,24439,1.0,2,1
10001,21930,1.0,2,1
12058,14230,1.0,4,1
12059,16514,1.0,3,1
9998,21924,1.0,2,1
9996,21921,1.0,2,1
9995,21918,1.0,3,1
9994,10859,1.0,4,1
5748,6328,1.0,4,1
4065,12061,-1.0,4,1
12062,24443,1.0,3,1
9982,14080,1.0,3,1
12080,24467,1.0,5,1
12081,24473,1.0,2,1
9980,21903,1.0,2,1
6034,12097,-1.0,4,1
12099,24487,1.0,2,1
12100,24488,1.0,2,1
8184,9965,-1.0,5,1
9964,11831,1.0,3,1
12105,24492,1.0,3,1
12106,24493,1.0,2,1
3054,15206,1.0,4,1
9962,21881,1.0,3,1
9067,12110,-1.0,3,1
9961,21880,1.0,2,1
12113,24498,1.0,3,1
