node1,node2,flow,betweenness,degree,class
51310,85422,1.0,2.569261534210695e-10,5,1
1258,51309,-1.0,2.4312422690697084e-05,107,0
51307,108109,1.0,1.2846307671053476e-10,2,1
61081,121532,1.0,1.2846307671053476e-10,2,1
28623,61082,-1.0,8.690323330032896e-07,14,1
51349,87557,1.0,2.0916309061968794e-06,5,1
31629,83500,1.0,1.2460700294753151e-06,6,1
51303,108104,1.0,3.8538923013160426e-10,3,1
61044,61045,1.0,3.211576917763369e-10,6,1
56792,61045,-1.0,4.282102557017825e-10,6,1
61046,61047,1.0,9.634730753290108e-10,6,1
51450,108293,1.0,1.2846307671053476e-10,2,1
61044,61047,-1.0,5.13852306842139e-10,6,1
51449,78808,1.0,7.276183035540712e-07,6,1
7588,51448,-1.0,2.617452755537388e-07,10,1
51235,58297,-1.0,5.301519878795426e-10,8,1
25661,51443,-1.0,8.690902253213665e-07,14,1
51441,71545,1.0,3.4244530463040493e-09,9,1
61041,121482,1.0,1.2846307671053476e-10,2,1
61030,121475,1.0,1.2846307671053476e-10,2,1
32175,51465,-1.0,1.4802578358412e-06,9,1
31333,83217,1.0,2.129526392552611e-06,6,1
31336,35183,1.0,6.404660337704274e-07,4,1
61031,121476,1.0,1.2846307671053476e-10,2,1
30911,61033,-1.0,2.070088473463433e-06,12,1
51460,108305,1.0,1.2846307671053476e-10,2,1
61036,121478,1.0,2.569261534210695e-10,3,1
51459,74379,1.0,3.8940552792692347e-07,9,1
61037,121480,1.0,1.2846307671053476e-10,2,1
61063,121496,1.0,1.2846307671053476e-10,2,1
31452,66116,1.0,2.3190238554973303e-06,8,1
61064,121498,1.0,1.2846307671053476e-10,2,1
31460,57449,1.0,2.569261534210695e-10,3,1
31470,83340,1.0,1.2846307671053476e-10,2,1
51418,108245,1.0,1.2846307671053476e-10,2,1
27872,31486,-1.0,9.516315824058817e-07,7,1
61065,121504,1.0,1.2846307671053476e-10,2,1
61060,108280,1.0,1.4199622490317675e-06,6,1
51437,108276,1.0,5.887602205341813e-07,4,1
51436,53824,1.0,1.9269461506580213e-10,5,1
31407,36649,1.0,1.654837210860841e-07,7,1
51435,108274,1.0,2.569261534210695e-10,3,1
51434,99475,1.0,1.7254281863294873e-06,4,1
31424,83300,1.0,1.2846307671053476e-10,2,1
61052,121492,1.0,1.2846307671053476e-10,2,1
24805,61055,-1.0,2.350500992297815e-09,7,1
51431,108266,1.0,1.2846307671053476e-10,2,1
61058,67249,1.0,3.0226737161714197e-07,5,1
33831,51300,-1.0,9.823099743800347e-07,7,1
51125,107884,1.0,1.2846307671053476e-10,2,1
61123,107851,1.0,3.8538923013160426e-10,5,1
42039,51184,-1.0,2.4391130820019036e-06,11,1
34661,51183,-1.0,2.569261534210695e-10,5,1
51180,107939,1.0,1.2846307671053476e-10,4,1
61130,121606,1.0,1.2846307671053476e-10,2,1
28451,51170,-1.0,1.7833747797063914e-08,10,1
35403,51165,-1.0,2.0698485077451425e-06,7,1
61135,121610,1.0,1.2846307671053476e-10,2,1
51188,107952,1.0,1.2846307671053476e-10,2,1
51189,76309,1.0,1.2846307671053476e-10,4,1
51213,107971,1.0,1.2846307671053476e-10,2,1
51211,107970,1.0,1.2846307671053476e-10,2,1
51200,107959,1.0,1.2846307671053476e-10,2,1
51191,99034,1.0,2.569261534210695e-10,3,1
51139,105275,1.0,1.0558160419742935e-06,6,1
31969,83913,1.0,3.8538923013160426e-10,3,1
61141,121622,1.0,1.2846307671053476e-10,2,1
61142,72855,1.0,5.899641621337568e-07,5,1
61140,121620,1.0,1.2846307671053476e-10,2,1
61144,121623,1.0,1.2846307671053476e-10,2,1
31991,83942,1.0,1.2846307671053476e-10,2,1
31992,64278,1.0,1.2846307671053476e-10,6,1
51126,51127,-1.0,9.255221879189822e-07,4,1
31993,83946,1.0,9.403313377606341e-07,5,1
61136,80785,1.0,2.2865989533294032e-06,4,1
51152,107903,1.0,1.2846307671053476e-10,2,1
20862,31931,-1.0,5.781451636616617e-07,9,1
51155,107913,1.0,1.2846307671053476e-10,2,1
51153,107904,1.0,1.2846307671053476e-10,2,1
31957,83895,1.0,1.2846307671053476e-10,2,1
61139,121619,1.0,1.2846307671053476e-10,2,1
31739,83627,1.0,1.2846307671053476e-10,2,1
20307,61101,-1.0,2.2221679972007302e-06,14,1
19833,61104,-1.0,3.4038892726317596e-07,15,1
22801,61106,-1.0,1.6338221758157808e-06,13,1
4060,31754,-1.0,1.949262659867507e-06,16,1
51271,108049,1.0,1.2846307671053476e-10,2,1
51270,108047,1.0,1.2846307671053476e-10,2,1
51282,108068,1.0,1.2846307671053476e-10,2,1
31681,32172,1.0,6.331328950421933e-07,13,1
51297,108097,1.0,1.2846307671053476e-10,2,1
61093,70149,1.0,4.0640962240667063e-07,10,1
61095,121553,1.0,1.2846307671053476e-10,2,1
31726,76898,1.0,1.2846307671053476e-10,6,1
31714,83603,1.0,1.2846307671053476e-10,2,1
23724,31716,-1.0,3.4979047086906345e-09,8,1
251,51266,-1.0,1.709438595656662e-05,481,0
77,61109,-1.0,1.952974864330344e-05,129,0
51231,107987,1.0,1.2846307671053476e-10,2,1
61119,121581,1.0,1.2846307671053476e-10,2,1
