flow1,flow2,edge1,edge2
-0.1724137931034483,0.1494252873563218,"14006,32308","14006,29719"
-0.1716171617161716,0.0825082508250825,"1251,23455","1251,26750"
0.1714285714285713,-0.1714285714285713,"12264,13792","12264,13792"
0.1691113028472821,-0.1691113028472821,"6307,6945","6307,6945"
-0.1684210526315789,0.1368421052631579,"12511,26547","12511,26282"
-0.1663628831814415,0.1663628831814415,"2799,7139","2799,7139"
0.1641791044776119,-0.1641791044776119,"3905,11196","3905,11196"
0.1640112464854732,-0.1640112464854732,"3645,18783","3645,18783"
0.1623376623376624,-0.1623376623376624,"4280,5839","4280,5839"
0.1602564102564102,-0.1602564102564102,"7731,11136","7731,11136"
-0.1601079250265507,0.1601079250265507,"281,12885","281,12885"
-0.157238785925329,0.157238785925329,"201,1231","201,1231"
-0.155884074941452,0.155884074941452,"4296,4858","4296,4858"
-0.1558441558441558,0.0974025974025974,"9931,27369","9931,32553"
-0.1552631578947368,0.1552631578947368,"3282,8194","3282,8194"
0.15493726132024,-0.15493726132024,"3096,6573","3096,6573"
-0.1548821548821548,0.1548821548821548,"15491,17932","15491,17932"
0.1538461538461538,0.0953846153846154,"13915,15871","13915,17014"
-0.1517241379310344,0.1379310344827586,"4481,7252","4481,25649"
0.1488636363636363,-0.1488636363636363,"2893,5495","2893,5495"
0.1428571428571429,-0.1428571428571429,"10679,14248","10679,14248"
0.14004914004914,-0.14004914004914,"15234,18947","15234,18947"
0.1379310344827586,-0.1379310344827586,"1535,1907","1535,1907"
-0.1376146788990825,0.091743119266055,"4626,27484","4626,26801"
0.1363636363636363,-0.1363636363636363,"10198,11008","10198,11008"
-0.1363636363636363,0.1363636363636363,"13978,14200","13978,14200"
-0.1351351351351351,0.1351351351351351,"3365,21620","3365,21620"
-0.1326754385964912,0.1326754385964912,"6473,6703","6473,6703"
-0.1322472848788638,0.1322472848788638,"3175,4597","3175,4597"
0.1305444607946184,-0.1305444607946184,"5694,6014","5694,6014"
-0.1288343558282208,0.0920245398773006,"1797,14810","1797,6178"
0.1287878787878788,-0.1287878787878788,"15711,18165","15711,18165"
0.1265970515970516,-0.1265970515970516,"1987,4122","1987,4122"
0.1252173913043477,-0.1252173913043477,"8342,8990","8342,8990"
0.125,-0.125,"1484,3051","1484,3051"
-0.1241956241956241,0.1241956241956241,"3078,3346","3078,3346"
-0.1212438853948287,0.1212438853948287,"7522,8080","7522,8080"
-0.1195402298850574,0.1195402298850574,"13002,13544","13002,13544"
-0.1192164809186085,0.1192164809186085,"6052,9494","6052,9494"
0.1180555555555555,-0.1180555555555555,"12638,15206","12638,15206"
0.1167484997272231,-0.1167484997272231,"3362,10458","3362,10458"
0.109375,-0.109375,"1605,2911","1605,2911"
-0.1089108910891089,0.0652300524170064,"3235,38041","3235,3621"
-0.1054545454545455,0.1054545454545455,"12367,15878","12367,15878"
-0.1045484588115123,0.1045484588115123,"1645,5135","1645,5135"
-0.1044546850998464,0.1044546850998464,"12291,20556","12291,20556"
-0.1041666666666666,0.1041666666666666,"10561,16346","10561,16346"
0.1012900143334926,-0.1012900143334926,"1853,11258","1853,11258"
-0.101010101010101,0.101010101010101,"11726,12608","11726,12608"
0.0995073891625616,-0.0995073891625616,"9781,12916","9781,12916"
-0.0967741935483871,0.0967741935483871,"11771,13148","11771,13148"
0.0945945945945946,-0.0945945945945946,"10630,11715","10630,11715"
-0.0942995169082125,0.0942995169082125,"2346,7131","2346,7131"
0.0921690921690921,-0.0921690921690921,"7808,8846","7808,8846"
0.0916666666666666,-0.0916666666666666,"5622,8302","5622,8302"
-0.0914285714285714,0.0914285714285714,"13713,17023","13713,17023"
-0.090962441314554,0.090962441314554,"5851,5852","5851,5852"
-0.0886075949367088,0.0886075949367088,"3188,31310","3188,16132"
-0.0829268292682926,0.073170731707317,"1215,25465","1215,17286"
0.0783882783882783,-0.0783882783882783,"5040,12565","5040,12565"
-0.0776923076923077,0.0776923076923077,"8113,9128","8113,9128"
-0.0769230769230769,0.0576923076923076,"859,23090","859,31829"
0.0734817813765181,-0.0734817813765181,"5231,6943","5231,6943"
0.0720798541126787,-0.0720798541126787,"1212,3672","1212,3672"
0.0717241379310344,-0.0717241379310344,"7258,9070","7258,9070"
0.0713119216113227,-0.0713119216113227,"1850,6300","1850,6300"
-0.0696924603174602,0.0696924603174602,"6704,9292","6704,9292"
0.0678177458033573,-0.0678177458033573,"2670,5974","2670,5974"
-0.0663265306122448,0.0663265306122448,"7803,9091","7803,9091"
-0.0660360833771237,0.0660360833771237,"1320,1597","1320,1597"
0.0646900269541779,-0.0646900269541779,"309,11711","309,11711"
-0.062669245647969,0.062669245647969,"2030,6662","2030,6662"
0.0601219255833508,-0.0601219255833508,"5923,6266","5923,6266"
0.0599694423223835,-0.0599694423223835,"617,4055","617,4055"
0.0554370054236685,-0.0554370054236685,"2251,2446","2251,2446"
-0.0535714285714286,0.0535714285714286,"9520,13147","9520,13147"
0.0532584386539762,-0.0532584386539762,"1494,5104","1494,5104"
0.0514705882352941,-0.0424348844015218,"8946,8947","6100,8947"
0.0513231756214915,-0.018754688672168,"4802,13270","4802,14225"
0.0496794871794872,-0.0496794871794872,"7327,7396","7327,7396"
-0.0466988727858292,0.0466988727858292,"15566,17113","15566,17113"
-0.0457721872816212,0.0457721872816212,"7560,8443","7560,8443"
-0.0454545454545454,0.0454545454545454,"18210,18211","18210,18211"
0.0445945945945945,-0.0445945945945945,"10445,10471","10445,10471"
0.0438095238095238,-0.0438095238095238,"16759,20215","16759,20215"
-0.043421052631579,0.043421052631579,"8797,9679","8797,9679"
-0.0412186379928315,0.0412186379928315,"6110,7293","6110,7293"
-0.0409482758620689,0.0409482758620689,"8762,10342","8762,10342"
-0.0402576489533011,0.0402576489533011,"15369,18880","15369,18880"
0.0384615384615384,-0.0384615384615384,"9939,14582","9939,14582"
-0.0384615384615384,0.0384615384615384,"6495,17009","6495,17009"
0.0331491712707182,-0.0331491712707182,"305,2051","305,2051"
0.0324675324675324,-0.0324675324675324,"5549,6016","5549,6016"
0.0317567567567568,-0.0317567567567568,"2404,8107","2404,8107"
0.0316078790655062,-0.0316078790655062,"5910,9238","5910,9238"
0.0310344827586206,-0.0310344827586206,"6972,11087","6972,11087"
-0.0274725274725274,0.0274725274725274,"12530,14067","12530,14067"
-0.0273752012882447,0.0273752012882447,"7073,17291","7073,17291"
