node1,node2,flow,degree,class
311,41370,-0.0099891642963564,14,0
312,423,0.3401778180764919,40,0
64,12417,-0.2886298484759843,97,0
8,33235,-0.0724982715672427,151,0
28,313,0.0208569665850697,252,0
314,979,-0.0891334442393475,65,0
107,315,0.0163317089093408,146,0
316,65888,0.1974702661884085,69,0
17,81,0.0250604919415313,193,0
317,29798,-0.2276212951135552,13,0
318,5035,-0.0369052207745812,115,0
319,7605,0.2196908879843034,16,0
79,129,-0.0765127451694194,155,0
233,320,0.0581874080687111,128,0
321,108994,0.1484022616098088,21,0
107,322,0.0170118424756316,151,0
323,475,0.2839454504624054,27,0
107,324,0.0060436783594209,185,0
325,108995,-0.1058452586519843,197,0
35,9007,-0.087729969930996,334,0
326,7755,-0.2908986819331647,25,0
327,28689,0.2915214866434378,174,0
32,284,0.0436153215010579,86,0
328,411,0.2205190238245022,50,0
284,3194,-0.1433255379870698,70,0
55,7652,0.0826968875749363,45,0
190,512,0.4454693478645024,46,0
120,108996,0.2140425531914893,22,0
17,385,0.0014854351934656,173,0
329,36374,-0.0418046187986937,22,0
35,17799,-0.0596106090982249,323,0
330,27157,-0.0721156121338318,21,0
125,331,0.0091866230427594,33,0
273,332,-0.0408487014791278,45,0
333,10043,-0.0894497458307321,68,0
334,73603,-0.3353434623947121,26,0
335,11166,-0.7473841554559043,21,0
336,365,-0.0118941276883945,86,0
236,337,-0.0827846718566327,520,0
338,108997,0.0120139812180022,29,0
230,339,-0.0557808879423124,131,0
28,42604,-0.0318808186151958,255,0
340,84510,0.1080401552024657,41,0
319,341,-0.2055934006715397,14,0
342,22058,-0.2668473465057324,58,0
343,529,0.1055733458995673,288,0
344,28397,0.1369986091073233,27,0
345,979,-0.1611482629261132,43,0
107,346,0.0036657409745013,157,0
243,487,-0.329059585831658,36,0
110,347,-0.1044412688933441,53,0
258,12476,-0.1791393704226298,47,0
285,2054,0.0689490223019477,29,0
24,25498,-0.040484766626543,100,0
272,48475,0.041573193769854,165,0
152,6648,-0.1801548713407516,60,0
316,336,0.0439201335504157,123,0
324,23874,-0.4038442272306803,74,0
348,13566,0.9061338289962824,11,0
349,108998,0.2119741100323624,11,0
12,52792,-0.0893838334414163,31,0
306,350,-0.2817966369098037,57,0
351,1581,-0.1036223682367364,47,0
352,9797,-0.0510233169669978,67,0
39,7755,-0.1918522918522918,32,0
64,250,0.0500242778417371,134,0
98,353,0.0382374991052625,149,0
354,17218,-0.4704069474966242,11,0
63,3697,-0.0700020200857581,92,0
355,376,-0.2828647927326672,48,0
302,25728,0.2677518944709514,50,0
356,688,0.1222050861287295,120,0
138,357,0.0335870867695777,170,0
358,477,-0.0209141366939743,98,0
359,108999,-0.2343218585033429,18,0
360,84266,0.1327535280603872,30,0
107,5647,0.0239585963140621,154,0
107,206,-0.0176683360031856,143,0
293,361,-0.1827870706862433,104,0
362,109000,0.0257886830245367,40,0
363,6413,0.4653221839645843,37,0
118,3416,0.0126105167567126,86,0
184,2378,0.0211499022690203,44,0
364,10989,-0.5604982206405694,24,0
365,109001,0.2659194895564002,39,0
366,10338,-0.2055202887832484,78,0
367,1352,0.0587430443230485,122,0
144,1663,-0.0208404339310763,87,0
368,13005,0.0789001122334455,50,0
28,157,-0.0139281902842352,298,0
369,108978,-0.1012934520359612,49,0
370,510,-0.0641853502620541,25,0
258,18136,-0.1965810533961143,51,0
156,8996,-0.1871513185381799,14,0
371,479,-0.0539720564950465,54,0
372,27157,0.4472375498872115,25,0
373,22186,-0.7393364928909952,31,0
374,1281,0.2277710729984388,56,0
