node1,node2,flow,betweenness,degree,class
271,108978,-0.1262197196988638,1.934825063872958e-05,34,0
272,12882,0.1099565463820139,0.00015333156676449893,140,0
273,7102,0.2668352102964835,7.795803485069518e-06,42,0
274,13266,-0.1870362740707568,3.2385331008915626e-05,95,0
277,2306,-0.1072782845534254,2.915525551883982e-05,61,0
35,278,-0.0148887524372317,3.0371669049324942e-05,320,0
21,280,-0.0077832575743964,6.757319839232279e-05,111,0
281,108990,-0.0097845938873138,1.836547003319057e-05,90,0
1,88167,-0.1492725909261342,5.017224917777908e-05,55,0
281,282,-0.0542160902690253,1.1393870928098717e-05,113,0
49,98058,0.1355062082139446,2.581904194339449e-05,65,0
283,1162,0.1090290254362584,1.1998252731672119e-05,42,0
123,526,0.0764009562625063,1.2220550005871745e-05,215,0
284,1236,-0.0413275222439331,2.715828820132994e-05,93,0
285,1719,0.0759477891723227,1.658033343738203e-05,45,0
107,8597,0.0116527751976902,1.8629071500590046e-05,155,0
286,3225,-0.3380408653846153,7.125677695630273e-05,46,0
22,280,-0.0192588202551525,5.691474803384732e-05,74,0
287,1257,-0.3116052715475271,3.7717406008211146e-05,28,0
8,5916,-0.1271439410065766,8.115562425637795e-06,170,0
288,690,-0.2868515665125835,2.0426230596029095e-05,104,0
217,9803,0.0056187970818659,0.00010183400455629126,203,0
159,14442,-0.6197183098591549,5.415831067445206e-05,46,0
292,6481,-0.0776522951986018,2.5794701518303843e-05,87,0
293,2910,0.2213559919095902,9.696524597789367e-06,159,0
294,16184,0.0904453576975709,1.9935165707051065e-05,64,0
295,5353,0.5888051668460711,3.11736135755825e-05,20,0
296,976,-0.0527083801112691,6.489576580485851e-05,64,0
297,108974,-0.1388900180209476,2.0100065741156843e-05,49,0
107,29385,-0.051795764229493,5.816724866213717e-05,143,0
299,108991,0.0431397473583856,4.9574551380394776e-05,115,0
10,5547,-0.0080599228280715,8.883722856526685e-06,196,0
152,12442,0.1453254754888829,0.00020453994907596043,67,0
163,738,0.1522669286385706,9.352795888348207e-06,43,0
129,399,0.0733425714646627,9.257861261172657e-05,268,0
81,228,-0.1442923106585863,7.873370853091218e-06,151,0
28,36,-0.0356379407680587,4.94662903601527e-05,323,0
28,1740,-0.0247564654676093,7.000440020516468e-05,317,0
300,477,0.0430940230736518,1.3315220275608308e-05,111,0
8,35,0.0137942581883283,0.0001226287939544796,440,0
217,769,0.0096440721133729,4.268785390072854e-05,141,0
35,302,-0.0241193623874336,6.1291990264782e-05,344,0
305,25029,-0.235161654751854,3.1793611647911714e-05,138,0
306,79204,-0.0070926529530178,1.7868509562156504e-05,59,0
307,16792,-0.0093151197236465,7.520029741120533e-06,26,0
258,640,-0.0782766999922227,1.7888893822923606e-05,56,0
308,976,-0.1560810945770498,0.00017823053601035316,93,0
62,309,0.2126208956341813,2.6146588477901252e-05,27,0
310,10043,0.0682356623752286,2.2356340266974787e-05,32,0
312,423,0.3401778180764919,1.395129594878161e-05,40,0
64,12417,-0.2886298484759843,1.4636457166676052e-05,97,0
8,33235,-0.0724982715672427,2.0770138723042855e-05,151,0
28,313,0.0208569665850697,5.045125847576328e-05,252,0
314,979,-0.0891334442393475,2.3402584308027033e-05,65,0
107,315,0.0163317089093408,2.7307742064573568e-05,146,0
316,65888,0.1974702661884085,4.411308586510134e-05,69,0
317,29798,-0.2276212951135552,1.175433525252575e-05,13,0
