node1,node2,flow,AFRC,class
3592,5563,1.0,-1,1
411,5344,-1.0,-98,1
5483,11702,-1.0,-11,1
1263,11703,-1.0,-9,1
1516,10343,-1.0,-1,1
7582,10340,-1.0,-1,1
11717,14431,1.0,-1,1
9534,10337,-1.0,-2,1
3601,15541,1.0,-1,1
10042,10335,-1.0,-4,1
10334,19829,1.0,-2,1
10333,12107,1.0,-3,1
4854,7336,-1.0,-5,1
13457,19107,1.0,-2,1
2737,13458,-1.0,-5,1
4768,7337,-1.0,-8,1
8685,15530,1.0,-1,1
3611,8267,-1.0,-1,1
449,13449,-1.0,-5,1
3605,13450,-1.0,-6,1
7068,8699,-1.0,-1,1
7330,7331,1.0,-1,1
6279,7331,-1.0,-1,1
7910,12156,1.0,-2,1
5043,13482,-1.0,-1,1
4182,7359,-1.0,-1,1
11664,13466,-1.0,-1,1
905,13468,-1.0,-7,1
4481,13983,-1.0,-5,1
10546,13472,-1.0,-1,1
2537,8719,-1.0,-3,1
8718,20218,1.0,-3,1
7709,13431,-1.0,-1,1
1671,8721,-1.0,-2,1
7309,12683,1.0,-3,1
13243,13416,-1.0,-3,1
540,8729,-1.0,-2,1
8457,8728,-1.0,-6,1
2506,13418,-1.0,-8,1
985,7314,-1.0,-4,1
454,8709,-1.0,-5,1
2320,7325,-1.0,-9,1
13993,19838,1.0,-1,1
13444,24703,1.0,3,0
8159,13037,1.0,-3,1
10738,13992,-1.0,-1,1
6048,13446,-1.0,-4,1
2966,8157,-1.0,-4,1
4095,13434,-1.0,-4,1
7919,12156,1.0,-2,1
2090,7319,-1.0,-11,1
5334,13995,-1.0,-1,1
5454,8670,-1.0,-2,1
2534,7114,-1.0,-2,1
8934,13541,-1.0,-1,1
9055,13545,-1.0,-6,1
7007,7890,-1.0,-2,1
5504,8615,-1.0,-2,1
8065,8614,-1.0,-3,1
909,7885,-1.0,-2,1
7884,11193,1.0,-2,1
8184,13531,-1.0,-1,1
7891,13702,1.0,3,0
4822,13966,-1.0,-4,1
4025,7413,-1.0,-2,1
13534,19273,1.0,3,0
