node1,node2,flow,AFRC,class
238,325,0.405576002944424,-174,1
211,239,-0.0346656515267233,-58,1
240,929,-0.0357242565394011,-24,1
35,241,-0.0754231003829885,-287,1
14,2046,0.111229566453447,-13,1
86,242,-0.2255596427963356,-138,1
243,8888,-0.096570954979707,-29,1
244,108985,-0.7635636778983438,-62,1
245,4513,-0.2819735676175035,-21,1
20,42949,-0.0697664212220217,-128,1
107,246,-0.0439684016789022,-111,1
35,247,-0.0667714803074081,-287,1
1,76,-0.2342239909039226,-51,1
28,248,0.0245984834915517,-234,1
28,526,-0.0552493614733163,-285,1
249,840,0.3829906170064562,1,0
20,250,-0.0967677676511435,-108,1
20,836,-0.0796663479257933,-105,1
194,38324,0.0728489224023311,-70,1
107,31359,0.0237446655344349,-116,1
251,72061,-0.1390043253328809,-7,1
252,20891,0.508699588067238,-15,1
253,1236,0.1617422263090421,-34,1
254,108986,-0.0989340450252797,-17,1
255,6335,0.0815426857055181,-36,1
256,13005,-0.1323586744639376,-39,1
180,257,0.1400562060548729,-8,1
258,5623,-0.0351472691940493,-38,1
125,5043,0.0667032376227685,-33,1
26,39,0.1304063623488397,-15,1
55,51963,0.0977252196764391,-18,1
259,873,-0.1071959052877586,-67,1
260,4016,0.0004958061170648,-22,1
35,261,-0.0583082865083265,-280,1
24,876,-0.1539462114638397,-75,1
107,212,-0.0895454199345161,-143,1
263,1740,0.1249247952018011,-65,1
264,1110,0.1297532664574955,-83,1
265,26499,-0.6770472895040369,-23,1
89,108961,0.1935853742330359,-22,1
266,20527,-0.4007352915888557,-27,1
267,382,-0.1906086722076569,-10,1
268,6598,0.6454738116863458,-24,1
269,59683,0.112886172385325,-12,1
138,270,0.0410587157256643,-150,1
271,108978,-0.1262197196988638,-27,1
272,12882,0.1099565463820139,-136,1
273,7102,0.2668352102964835,-35,1
274,13266,-0.1870362740707568,-61,1
275,27157,-0.1486604423720317,-6,1
276,108988,0.0876055155345383,-11,1
277,2306,-0.1072782845534254,-36,1
35,278,-0.0148887524372317,-292,1
279,108989,-0.4616085205397064,-8,1
21,280,-0.0077832575743964,-101,1
281,108990,-0.0097845938873138,-53,1
1,88167,-0.1492725909261342,-51,1
281,282,-0.0542160902690253,-64,1
49,98058,0.1355062082139446,-61,1
283,1162,0.1090290254362584,-38,1
123,526,0.0764009562625063,-121,1
184,1265,0.0794280114041339,-27,1
284,1236,-0.0413275222439331,-44,1
285,1719,0.0759477891723227,-29,1
107,8597,0.0116527751976902,-109,1
286,3225,-0.3380408653846153,-42,1
22,280,-0.0192588202551525,-67,1
8,5916,-0.1271439410065766,-124,1
288,690,-0.2868515665125835,-40,1
217,9803,0.0056187970818659,-124,1
289,2014,0.1702563786359568,-40,1
290,2685,0.4024633299742469,-16,1
74,291,0.0171947884900179,-117,1
159,14442,-0.6197183098591549,-42,1
292,6481,-0.0776522951986018,-53,1
293,2910,0.2213559919095902,-110,1
294,16184,0.0904453576975709,-30,1
295,5353,0.5888051668460711,-13,1
296,976,-0.0527083801112691,-24,1
50,58,-0.0026662322606504,-69,1
297,108974,-0.1388900180209476,-30,1
91,298,-0.0703819446771539,-40,1
107,29385,-0.051795764229493,-121,1
299,108991,0.0431397473583856,-105,1
10,5547,-0.0080599228280715,-156,1
152,12442,0.1453254754888829,-60,1
163,738,0.1522669286385706,-33,1
129,399,0.0733425714646627,-159,1
81,228,-0.1442923106585863,-75,1
28,36,-0.0356379407680587,-157,1
28,1740,-0.0247564654676093,-262,1
300,477,0.0430940230736518,-35,1
8,35,0.0137942581883283,-385,1
217,769,0.0096440721133729,-77,1
35,302,-0.0241193623874336,-286,1
257,304,0.2111952011720237,-13,1
305,25029,-0.235161654751854,-80,1
264,108993,-0.3224924012158054,-125,1
