node1,node2,flow,degree,class
22,5302,0.0682730923694779,271,0
22,5719,0.0080321285140562,240,0
22,5788,0.0040160642570281,238,0
22,5792,0.0040160642570281,253,0
22,6155,0.0040160642570281,247,0
23,380,0.3346303501945525,19,1
23,2342,0.1322957198443579,20,1
23,2343,0.0116731517509727,20,1
23,2867,0.0350194552529182,17,1
23,5955,0.0038910505836575,19,1
23,6037,0.4824902723735408,20,1
24,511,0.084,75,1
24,1761,0.244,78,1
24,4234,0.008,87,1
24,4293,0.016,79,1
24,4297,0.06,76,1
25,1493,0.0201612903225806,77,1
25,1535,0.0161290322580645,83,1
25,1536,-0.0815708547759508,68,1
25,3321,0.0040322580645161,86,1
25,3323,-0.0410557184750733,68,1
25,4973,0.0403225806451612,83,1
25,4991,-0.162726469288555,65,1
25,4994,-0.0548355717334002,71,1
25,6184,0.0161290322580645,82,1
25,6301,0.0483870967741935,79,1
25,6302,-0.0507606954930222,68,1
26,4466,-0.1767676767676767,11,1
27,1269,0.0077821011673151,62,1
27,5611,0.0311284046692607,57,1
29,135,0.0077821011673151,238,0
29,4026,0.0194552529182879,234,0
30,2971,0.0421455938697318,79,1
30,4324,0.003831417624521,86,1
31,2028,0.3989304204357968,11,1
31,2620,0.2211981566820276,12,1
31,3482,-0.0248620356147237,12,1
31,3568,0.0875576036866359,13,1
31,3569,0.0114247311827957,11,1
32,3769,0.0039215686274509,87,1
33,719,0.2424242424242424,53,1
33,2051,0.2727272727272727,49,1
33,2133,0.0303030303030303,62,1
33,3361,0.0303030303030303,45,1
33,3745,0.0606060606060606,60,1
33,4496,0.0303030303030303,57,1
33,4497,0.0303030303030303,72,1
33,5038,0.0606060606060606,52,1
33,5041,0.0303030303030303,63,1
33,5042,0.1212121212121212,53,1
33,5077,0.0303030303030303,72,1
14,34,-0.0039370078740157,299,0
34,60,0.0039370078740157,318,0
34,79,0.0078740157480314,272,0
34,170,0.0078740157480314,251,0
34,294,0.0275590551181102,324,0
34,496,0.0314960629921259,300,0
34,572,0.0078740157480314,289,0
34,606,0.0118110236220472,273,0
34,929,0.0118110236220472,295,0
34,935,0.0039370078740157,297,0
34,981,0.0039524471205805,276,0
34,1333,0.0196850393700787,296,0
34,1334,0.0236220472440944,315,0
34,1335,0.0078740157480314,245,0
34,1336,0.0118110236220472,294,0
34,1347,0.0039370078740157,302,0
34,1489,0.0118110236220472,273,0
34,1620,0.0118110236220472,309,0
34,1829,0.0078740157480314,316,0
34,1877,0.0078740157480314,280,0
34,2065,0.0039370078740157,288,0
34,2066,0.0039370078740157,290,0
34,2297,0.0039370078740157,314,0
34,2300,0.0275590551181102,318,0
34,2301,0.0078740157480314,247,0
34,2429,0.0039370078740157,309,0
34,2430,0.0039370078740157,274,0
34,2756,0.0236220472440944,254,0
34,2841,0.0157480314960629,244,0
34,2842,0.0039370078740157,285,0
34,2843,0.0196850393700787,252,0
34,2845,0.0236220472440944,328,0
34,2846,0.0118110236220472,268,0
34,3294,0.0078740157480314,282,0
34,3295,0.0118110236220472,265,0
34,3296,0.0078740157480314,289,0
34,3386,0.0039370078740157,276,0
34,3859,0.0039370078740157,301,0
34,3872,0.0039370078740157,287,0
34,4120,0.0236220472440944,284,0
34,4121,0.0039370078740157,243,0
34,4122,0.0039370078740157,319,0
34,4127,0.0039370078740157,264,0
34,4130,0.1102362204724409,266,0
34,4132,0.0118110236220472,287,0
34,4133,0.0039370078740157,326,0
34,4134,0.0039370078740157,299,0
34,4568,0.0039370078740157,293,0
34,4577,0.0078740157480314,323,0
34,4578,0.0039370078740157,295,0
34,4580,0.0118110236220472,295,0
34,4581,0.0078740157480314,294,0
34,4584,0.0196850393700787,316,0
34,4585,0.0275590551181102,255,0
34,4586,0.0236220472440944,301,0
34,4587,0.0039370078740157,304,0
34,4616,0.0118110236220472,290,0
34,4737,0.0078740157480314,301,0
34,4739,0.0039370078740157,294,0
34,4742,0.0039370078740157,291,0
34,5736,0.0354330708661417,284,0
34,5742,0.0314960629921259,318,0
34,5743,0.0196850393700787,304,0
34,5744,0.0078740157480314,285,0
34,5745,0.0039370078740157,325,0
34,5772,0.0118110236220472,278,0
34,5774,0.0314960629921259,261,0
34,5775,0.0039370078740157,309,0
34,5776,0.0078740157480314,317,0
34,5777,0.0196850393700787,290,0
34,5778,0.0118110236220472,260,0
34,5782,0.0039370078740157,280,0
34,5823,0.0118110236220472,309,0
34,5880,0.0157480314960629,298,0
34,6169,0.0078740157480314,303,0
34,6171,0.0314960629921259,317,0
34,6218,0.0039370078740157,265,0
34,6253,0.0118110236220472,281,0
35,115,0.0326086956521739,68,1
35,493,0.1358695652173913,72,1
35,919,0.0978260869565217,71,1
35,1743,0.0271739130434782,78,1
35,1748,0.0434782608695652,76,1
35,2830,0.0054347826086956,70,1
35,2831,0.1576086956521739,65,1
35,2832,0.0108695652173913,63,1
35,2948,0.0054347826086956,84,1
35,2951,0.0163043478260869,72,1
35,2961,0.0054347826086956,65,1
35,3694,0.0163043478260869,65,1
35,3697,0.108695652173913,69,1
35,4537,0.0434782608695652,74,1
35,4539,0.0652173913043478,77,1
35,4542,0.1521739130434782,65,1
35,4639,0.0054347826086956,83,1
36,3571,0.5227272727272727,23,1
36,4187,0.0909090909090909,34,1
36,4695,0.0909090909090909,27,1
37,294,0.0651340996168582,243,0
37,4122,0.0306513409961685,238,0
37,4577,0.0114942528735632,242,0
37,4584,0.0153256704980842,235,0
37,4740,0.0114942528735632,231,0
37,5745,0.003831417624521,244,0
38,1014,0.00418410041841,85,1
38,4244,0.2970711297071129,77,1
38,4246,-0.0078158995815899,69,1
38,4841,-0.4182190663032344,59,1
39,598,0.0474308300395256,21,1
39,1031,0.075098814229249,25,1
39,1857,0.1976284584980237,20,1
39,3258,0.3952569169960474,22,1
39,3659,0.0158102766798418,25,1
39,3662,0.2687747035573122,21,1
40,197,0.1517509727626459,30,1
40,1035,0.0428015564202334,31,1
40,2136,0.1517509727626459,28,1
40,2185,0.0233463035019455,27,1
40,2928,0.0583657587548638,31,1
40,4933,0.4669260700389105,29,1
40,5011,0.1050583657587548,31,1
41,497,0.0909090909090909,64,1
41,2854,0.5454545454545454,27,1
41,4644,-0.4545454545454545,9,1
41,5614,0.1363636363636363,47,1
42,708,0.015625,73,1
42,766,0.0078125,75,1
42,1146,0.00390625,62,1
42,1776,0.01171875,80,1
42,2150,0.015625,80,1
42,3707,0.0234375,86,1
42,3921,0.140625,73,1
42,4493,0.01953125,69,1
42,5265,0.05859375,70,1
43,651,0.0276679841897233,83,1
44,51,0.0121951219512195,75,1
44,984,0.0121951219512195,62,1
44,1804,0.0609756097560975,71,1
44,1933,0.0121951219512195,62,1
44,2975,0.073170731707317,78,1
44,2976,0.0121951219512195,82,1
44,3041,0.024390243902439,59,1
44,3129,0.2926829268292683,32,1
44,3538,0.024390243902439,56,1
44,4310,0.0609756097560975,82,1
44,5131,0.0121951219512195,44,1
44,5138,0.0121951219512195,67,1
44,5146,0.0121951219512195,65,1
44,5153,0.2073170731707317,74,1
44,5461,0.0121951219512195,60,1
45,2167,0.0276497695852534,50,1
45,2767,0.0552995391705069,78,1
45,2769,0.1033547628529707,58,1
45,4181,0.4259303109232983,75,1
45,5695,0.1566820276497695,68,1
46,2924,0.0816326530612244,67,1
46,3462,0.0204081632653061,71,1
46,3757,0.1428571428571428,75,1
46,3758,0.1632653061224489,64,1
47,2189,0.03125,86,1
47,2657,0.30859375,85,1
48,159,0.0344827586206896,86,1
48,1978,0.0172413793103448,60,1
48,2041,0.0172413793103448,80,1
48,3890,0.0172413793103448,75,1
48,4430,0.0344827586206896,83,1
49,438,0.0098039215686274,85,1
49,742,0.0049019607843137,71,1
49,1970,0.0196078431372549,86,1
49,2616,0.0049019607843137,86,1
49,2617,0.0049019607843137,83,1
49,3779,0.2333467633628794,77,1
49,3787,0.0049019607843137,64,1
49,3972,0.0049019607843137,77,1
50,1371,0.4630350194552529,266,0
51,2090,0.0078125,87,1
51,3043,0.01171875,76,1
51,3542,0.08984375,85,1
51,3842,0.125,85,1
51,5131,0.00390625,83,1
52,884,0.1605691056910569,62,1
52,3737,0.1363636363636363,39,1
52,4462,0.375,25,1
53,4342,0.3059360730593607,32,1
54,830,-0.0163635266793351,56,1
54,1233,-0.0316436531007751,46,1
54,2014,0.0348837209302325,69,1
54,2239,0.0115668680949765,41,1
54,4199,0.2324975775193798,53,1
54,4201,0.0736283292613036,47,1
54,5511,-0.0167151162790697,42,1
54,5523,0.0193798449612403,45,1
54,5525,-0.0817422254396283,39,1
54,5897,0.0346557227542179,45,1
54,6000,0.0225593507751938,41,1
55,495,0.0661157024793388,50,1
55,2138,0.0330578512396694,6,1
55,4553,0.1500803489439853,40,1
55,5055,0.2809917355371901,6,1
56,2323,0.0078431372549019,232,0
56,2778,0.0470588235294117,231,0
57,546,0.0377358490566037,83,1
57,1199,0.0566037735849056,69,1
57,1224,0.0188679245283018,85,1
57,2218,0.0943396226415094,63,1
57,2278,0.0377358490566037,82,1
57,3037,0.1132075471698113,61,1
57,4000,0.0566037735849056,68,1
57,5408,0.0754716981132075,73,1
57,5425,0.0943396226415094,75,1
