node1,node2,flow
9982,14080,1.0
12080,24467,1.0
12081,24473,1.0
9980,21903,1.0
12097,6034,1.0
12098,4064,1.0
12099,24487,1.0
12100,24488,1.0
9965,8184,1.0
3058,15212,1.0
12102,1186,1.0
9964,11831,1.0
12105,24492,1.0
12106,24493,1.0
3054,15206,1.0
9962,21881,1.0
12110,9067,1.0
9961,21880,1.0
12112,13230,1.0
12113,24498,1.0
12114,2625,1.0
3050,3585,1.0
12115,14052,1.0
9960,21877,1.0
5791,17378,1.0
12116,24499,1.0
12117,24500,1.0
12096,24484,1.0
9967,5418,1.0
3067,648,1.0
9975,7167,1.0
12083,18728,1.0
12084,24474,1.0
9979,21902,1.0
5770,682,1.0
12085,24477,1.0
3080,3439,1.0
12086,24478,1.0
9978,21901,1.0
9977,21900,1.0
9976,21899,1.0
5774,17362,1.0
12093,24483,1.0
9974,6129,1.0
5775,14387,1.0
9973,16798,1.0
12089,11654,1.0
12090,20079,1.0
12091,6021,1.0
12092,24481,1.0
3074,6395,1.0
9970,960,1.0
3070,6054,1.0
12186,6763,1.0
12187,24595,1.0
12304,24738,1.0
9817,467,1.0
12263,24681,1.0
12264,24683,1.0
2797,8476,1.0
12265,22477,1.0
9816,21704,1.0
2796,12852,1.0
12267,24686,1.0
12268,8770,1.0
2792,3895,1.0
9815,21702,1.0
12269,15192,1.0
9813,4016,1.0
12270,19859,1.0
2790,15057,1.0
12271,24688,1.0
12272,21429,1.0
5960,5923,1.0
12273,24691,1.0
5962,11688,1.0
9812,14539,1.0
2787,4703,1.0
9811,3487,1.0
5963,17541,1.0
12262,2008,1.0
12261,8460,1.0
9809,21698,1.0
12260,15214,1.0
9828,7730,1.0
9827,21731,1.0
5925,17507,1.0
5926,17509,1.0
5927,7123,1.0
5933,16458,1.0
9824,21724,1.0
2818,15072,1.0
9823,3962,1.0
12248,24666,1.0
12249,5701,1.0
12250,24667,1.0
12251,24668,1.0
9821,21718,1.0
12252,24670,1.0
12254,24671,1.0
5942,17521,1.0
5945,15274,1.0
5947,17527,1.0
5948,4425,1.0
9818,21708,1.0
5952,17532,1.0
12259,24680,1.0
9810,21699,1.0
12274,24693,1.0
9886,11114,1.0
9782,10525,1.0
2757,15040,1.0
12291,20124,1.0
9781,21663,1.0
9780,21662,1.0
9779,21661,1.0
9778,12535,1.0
9777,21660,1.0
12295,24724,1.0
9775,21658,1.0
9774,21656,1.0
9773,21655,1.0
12297,24728,1.0
12298,24729,1.0
12299,4180,1.0
12300,24730,1.0
12301,24731,1.0
9771,21651,1.0
2747,15035,1.0
9770,21650,1.0
6001,3399,1.0
