node1,node2,flow
261,410,0.0141011385084506
262,2592,-0.0222195146188506
263,15689,-0.4431657853079832
264,1363,0.0367646072325863
265,217,0.109263229820919
266,175999,0.1021626978727723
104,6790,0.0569704173655553
29,864,-0.0827553041350208
94,7830,-0.0120560914988625
52,176008,-0.1868202463803083
267,16643,0.0074067832315146
268,217,0.0923780792829214
269,40683,0.1606074665292474
30,5296,-0.0042213634037355
270,409,0.01244323378311
271,4559,-0.1319863367198663
272,129,0.197572396541398
273,309,0.1276367539571103
274,6790,-0.0373183167814801
275,214,-0.039569098418378
131,208,0.1196254699176514
2,191,0.1305606241741647
276,217,0.0582215102988442
277,675,0.4256306528093825
278,73833,-0.0986616108100078
76,118,-0.1057788206555707
24,85199,-0.0211401732802114
279,148,0.1658163159800937
109,544,-0.062320105886685
280,301,0.2339661654135338
129,2271,0.0451734046009228
281,7585,-0.0014693063936361
109,20,-0.0155944459138356
147,1648,-0.2262544626654779
282,9416,0.3904847138597476
283,482,-0.0918574718872781
284,2060,0.2034035459608749
182,517,-0.0444611262186262
285,30800,-0.1435227673843981
286,15960,0.1103065935534153
287,1067,-0.0105866779433992
50,29,-0.0835637354021375
288,13613,0.3517541658340024
289,15124,-0.051000810382162
290,93,0.3277204090951862
4,1708,0.0078232942596615
5,37,0.0635342509096661
291,1008,0.3983712468734847
182,4748,0.0526773007468801
227,278,0.1884183424769751
292,24,0.0179150696060834
293,686,0.1390468047593379
294,658,-0.0686841561660814
168,2187,-0.0236644977166678
132,145,-0.0068819829013218
295,5221,0.0021021655468239
153,4,0.0515739388379243
230,12957,-0.0317766226343049
296,6545,-0.0128774635363833
297,965,0.1589000230618727
4,176009,-0.0155675442510592
298,97,-0.2425525854038949
8,4016,-0.0507136818240685
299,6785,-0.0741649228861505
168,23,0.0282149827813682
87,1069,0.0490454533619772
94,1835,-0.1199558398614373
300,7,0.0541993904726155
301,171,0.2221327612317011
302,123,0.0532734668927425
303,31912,-0.1216845201628435
304,176010,0.0637819824049247
109,648,-0.0320298109106362
33,31807,-0.0935732456323845
305,1315,-0.067498343219484
306,682,0.1201502592354285
22,2060,0.041217790243038
65,474,0.0218017332048236
307,8220,0.3892794270528191
308,389,0.1595231492288946
132,510,-0.0053181652349272
309,11469,0.2620985483923701
286,551,-0.2452098056557026
310,8822,0.313961915255442
212,9309,-0.3077261926788024
212,79641,-0.264143079314283
145,3455,0.0782664069913053
311,24,0.1901362569911135
16,646,-0.0663060955945232
312,28,-0.1721432850822521
313,61,-0.0688330978516827
120,4,-0.0075795800023467
314,1124,0.0109880231224686
315,176003,0.0201306108151442
316,4840,0.2064555499521981
317,3956,0.0328901867363405
318,249,0.0803094715350623
319,12052,0.0265952400041872
320,6826,0.0334285225317732
247,217,0.0743247021793803
321,260,-0.1842390219177661
322,21852,-0.3563743235013868
246,397,0.505064425898839
20,460,-0.0244721425946379
245,752,-0.0582883232867982
202,4147,-0.3131263774763145
323,273,0.1936216861453011
324,2636,0.5267667482625867
228,4507,0.5289456419257992
325,3455,0.1302384434920894
65,1874,0.0236826516085265
326,1440,0.100752617203587
327,686,-0.0622773039587351
272,15960,-0.1879090612044506
34,41599,-0.0624877521515513
328,612,-0.1205399763926079
110,646,0.0888790448947946
329,409,-0.0146256014175346
330,37124,0.1348225991932024
331,221,0.0083430426248676
332,984,0.0548377120646407
333,30503,0.1622653555136425
334,5448,0.1223809849133245
181,71,0.0196513681836273
322,4147,0.1135138822755985
335,2081,0.1468256671947994
314,2313,-0.091041725159627
336,220,0.1310037728524551
182,135320,-0.1143712010920563
337,2372,-0.2452822756138394
74,516,-0.0006662301784966
338,1423,0.0553933167948675
339,139,0.2027998152024704
340,40596,0.8981546917942678
326,1124,-0.2020181440182222
341,11247,-0.5021532398777444
342,133553,0.5726282051282051
330,30503,-0.3456187875670418
198,5711,0.1029323489840273
343,79232,-0.1150925757624895
344,7585,0.1317853346836249
109,176001,0.044312424412829
345,383,-0.3557669932409714
346,1067,-0.003811732764184
347,1557,0.5201655103455821
348,37124,-0.3306725967540573
160,2353,0.0676885070657558
349,46,0.026238879050382
350,11045,0.3337262233087327
43,6118,-0.2617156576121947
351,4844,0.381750473373444
352,284,0.0328987941098996
37,16643,0.0993185520178873
76,72,0.0162404361712233
353,2592,0.2020476594188932
50,3123,0.0573906267001483
8,14312,0.0017289149002845
354,3694,0.5342155419565124
355,21852,0.3766842327863791
33,48,-0.0632139625010857
356,190,0.2452188058049152
357,548,0.1439598970472572
358,413,0.2256336463253083
46,6545,-0.0559085604197067
132,110,-0.0078613264226361
3,50999,0.0288921119425124
212,127014,-0.0778578434295097
359,1531,-0.2005480180729703
145,64,0.0794631100299848
129,50,0.0057642577696676
360,6001,0.2372086708567565
69,541,-0.145840681293639
