node1,node2,flow
42688,6842,1.0
49016,94025,1.0
44769,21956,1.0
49015,34793,1.0
42689,10326,1.0
37428,80376,1.0
49014,29540,1.0
49012,94024,1.0
32443,38175,1.0
52055,97685,1.0
36590,27927,1.0
42691,47108,1.0
39094,56634,1.0
6662,47459,1.0
32449,38740,1.0
49002,94019,1.0
44767,88782,1.0
42694,18750,1.0
32453,2477,1.0
37431,22076,1.0
32454,47293,1.0
25935,68614,1.0
38553,81547,1.0
32455,15613,1.0
52063,22722,1.0
32456,75035,1.0
48996,13436,1.0
42695,86445,1.0
41393,77567,1.0
42696,6866,1.0
48994,94009,1.0
48993,94008,1.0
29933,2953,1.0
6628,55361,1.0
25937,68616,1.0
25934,283,1.0
48997,53888,1.0
49001,94018,1.0
48998,94016,1.0
38555,69200,1.0
44766,88781,1.0
52060,4734,1.0
15852,35335,1.0
44765,88780,1.0
44764,88779,1.0
42693,74768,1.0
32450,23198,1.0
52061,36510,1.0
38554,81548,1.0
15855,25982,1.0
15859,60550,1.0
36585,36775,1.0
44285,27312,1.0
32451,75032,1.0
32452,75033,1.0
26960,69583,1.0
41387,38607,1.0
48966,2077,1.0
48965,22270,1.0
6537,55331,1.0
44757,49086,1.0
15984,55757,1.0
44756,44757,1.0
52097,20985,1.0
32502,41577,1.0
52098,97752,1.0
35034,77747,1.0
29890,55696,1.0
52099,97753,1.0
15965,14917,1.0
48939,93937,1.0
15987,32729,1.0
48938,74008,1.0
48937,93936,1.0
48936,65606,1.0
6536,55329,1.0
48935,12021,1.0
52101,97756,1.0
32498,75068,1.0
52096,36814,1.0
44758,27559,1.0
29892,35578,1.0
48945,93951,1.0
25182,23318,1.0
52093,77223,1.0
48944,93950,1.0
6548,4158,1.0
39097,82180,1.0
39984,740,1.0
48943,93949,1.0
52094,72564,1.0
52095,97750,1.0
29898,4009,1.0
15968,19554,1.0
48942,38173,1.0
25947,30538,1.0
25180,23333,1.0
41380,84831,1.0
29893,27627,1.0
48934,4018,1.0
36577,74569,1.0
48933,24553,1.0
41375,84822,1.0
41374,52758,1.0
16019,60649,1.0
48928,68241,1.0
29879,72384,1.0
48927,93925,1.0
48926,90925,1.0
29878,64461,1.0
37438,80384,1.0
48925,41584,1.0
42713,86473,1.0
16031,3387,1.0
25175,67968,1.0
29874,39385,1.0
32510,12500,1.0
29873,42964,1.0
52103,230,1.0
16041,11069,1.0
16015,3511,1.0
29883,72387,1.0
48932,34746,1.0
16012,60644,1.0
16000,37174,1.0
52102,97757,1.0
16001,14809,1.0
42710,86470,1.0
42712,86471,1.0
34704,64628,1.0
32505,75077,1.0
32506,48371,1.0
32507,75078,1.0
41377,84823,1.0
45108,84988,1.0
16006,21235,1.0
35593,73542,1.0
48930,29077,1.0
16011,60643,1.0
48929,93928,1.0
29885,66153,1.0
52092,53280,1.0
48946,55287,1.0
52076,97723,1.0
15928,49024,1.0
32481,9158,1.0
48959,19403,1.0
26966,69587,1.0
48958,77446,1.0
15924,60597,1.0
52080,97728,1.0
39096,82178,1.0
32483,41506,1.0
15931,23659,1.0
25183,19406,1.0
48957,93966,1.0
32485,75053,1.0
52081,97729,1.0
48956,24933,1.0
52082,97730,1.0
42704,86458,1.0
15935,15936,1.0
37434,29642,1.0
26712,23997,1.0
48960,93968,1.0
48961,93969,1.0
15921,60594,1.0
52077,61370,1.0
39095,82176,1.0
25942,20648,1.0
35029,13335,1.0
15911,42283,1.0
48964,93970,1.0
48963,46235,1.0
42702,86457,1.0
15914,4979,1.0
15917,55127,1.0
15919,17346,1.0
52079,10337,1.0
32478,75048,1.0
34708,77385,1.0
15920,2077,1.0
32479,75051,1.0
32480,75052,1.0
52083,46735,1.0
15936,27550,1.0
15937,60604,1.0
41384,84834,1.0
52088,27401,1.0
41382,41442,1.0
48951,48871,1.0
15953,60607,1.0
48950,92529,1.0
29903,9532,1.0
52089,97742,1.0
52090,97745,1.0
41381,6331,1.0
32493,12149,1.0
15958,60609,1.0
48948,17333,1.0
42707,86462,1.0
15963,9335,1.0
45106,47300,1.0
48947,15098,1.0
42708,86463,1.0
37435,3658,1.0
35595,77108,1.0
45102,35039,1.0
15949,18839,1.0
52084,97731,1.0
15941,60605,1.0
25945,7283,1.0
6560,3368,1.0
48955,9377,1.0
15942,13238,1.0
48954,17500,1.0
15943,193,1.0
15945,25523,1.0
44759,12047,1.0
15946,10841,1.0
29908,72403,1.0
42706,46811,1.0
52087,97739,1.0
45103,35039,1.0
6556,13444,1.0
48952,93964,1.0
41346,4060,1.0
42734,26524,1.0
16349,18446,1.0
42774,86542,1.0
52240,34102,1.0
16698,6452,1.0
29708,68765,1.0
16702,19601,1.0
16703,3175,1.0
52241,97914,1.0
16704,22904,1.0
42773,86541,1.0
39129,82216,1.0
48705,72951,1.0
39130,82217,1.0
42775,61873,1.0
16707,61112,1.0
35590,78325,1.0
32663,41792,1.0
32664,75240,1.0
48708,93632,1.0
36518,79373,1.0
44411,9576,1.0
16697,4218,1.0
25141,25140,1.0
48713,63845,1.0
52234,38954,1.0
52235,39851,1.0
16686,61099,1.0
52236,77612,1.0
16687,8508,1.0
39127,35115,1.0
48715,93640,1.0
16693,61101,1.0
48714,93638,1.0
16694,15545,1.0
52238,8162,1.0
52239,97913,1.0
16695,61103,1.0
32658,70105,1.0
