node1,node2,flow
8,1521,-0.0538287266040697
143,98,0.1190045114802587
144,2263,-0.0618257000416396
145,40901,-0.1022820062578132
146,108974,0.1001607319485657
114,7755,-0.0581286496487674
147,108975,0.7831270059605685
148,69811,-0.1709878125453402
24,108976,-0.5976598640234065
149,108977,0.3444563975213562
150,42363,0.2404664414966885
151,617,0.1087909183839416
129,35,0.1298450395608558
152,988,0.0163566936973625
8,85,0.0217668499890521
153,108978,-0.3113905325443787
154,503,0.075344667564569
155,10767,-0.0613737566074598
156,48557,0.1761969982308965
13,37,0.0368788965156463
157,1763,0.2505834924676426
35,2258,-0.0601356515701355
158,13005,-0.3358024691358025
159,12285,-0.3601685517853182
160,456,-0.237885462555066
161,107,0.053354627911997
162,107,-0.0312746122656344
163,469,0.2957884504021257
164,107,0.0365544831336298
165,1755,-0.2051907966661439
166,570,0.2285088060042329
167,239,-0.0604020509553159
2,5547,-0.0360791278371973
168,479,0.235992348549514
169,17785,0.3788641550518501
170,69377,-0.0595401957955569
171,2702,-0.1734065085013176
172,688,0.2716992228808489
74,46,0.0486024066182
173,21111,0.6682484900776532
174,5437,0.0215174849511339
175,149,-0.3582708305812552
74,688,0.0420202841516383
170,1201,0.0392870474315832
151,2905,-0.4498445728390494
107,2910,-0.1027527727476923
176,17404,0.3004745083500822
177,4588,0.4611679711017459
178,65215,0.3024727992087042
179,35,0.0470523794405041
180,131,-0.1931494412509805
64,19756,0.0886327736500321
181,11364,0.0822857158247958
182,51,0.1725677206593237
28,2142,0.0296933150237825
183,9803,-0.0800302342299537
184,108979,0.11066875037254
5,32655,-0.3069333790228161
185,2702,0.1747204477314507
186,170,0.0657374078864583
187,33604,-0.1994988703552372
188,326,-0.185696358663592
75,320,0.0213004354360735
189,3639,0.0499515985188864
190,477,0.0035867144058464
191,108980,0.0704178163617141
117,108974,-0.0075927716005195
192,4248,-0.2378566200828712
193,24327,-0.5433746425166825
194,233,-0.0241442888165073
195,125,-0.0667858452511917
170,108981,-0.1625880027905605
196,8597,-0.2369450797142934
197,28307,0.0607778680317427
198,788,-0.5066903961505504
75,17900,0.0286334083009609
199,12282,0.4073161945308662
200,811,-0.0935237777035303
197,28,0.2048540884137532
201,5670,0.0291774332472006
202,108967,-0.2525432803855078
3,9327,-0.013928774195252
55,13965,0.1156278229448961
29,641,0.0069112639119543
123,28,0.1299712617039028
107,108982,-0.0035665568752703
203,9557,0.4337511270135383
204,401,-0.0384371500207836
205,27157,0.0656250646722925
206,108983,0.5972282373321784
24,23133,0.0175119080975063
16,28,0.0504368985731666
80,19135,-0.1848722700272647
184,233,-0.1043692217987561
207,65,-0.1696316336011367
208,38,-0.6887316826680141
112,1861,0.1705843792117448
107,12285,0.0199443968804515
209,7,0.1182672149653281
210,24,0.0273654063519832
10,81,0.0387859128577458
211,282,-0.090796070045049
212,17042,0.1024899109114444
185,457,-0.0769748347977253
213,525,-0.0619951659942927
214,81,-0.1179482652070274
215,7,-0.0775616835994194
216,2548,0.0586275930824949
217,167,-0.0573086546813056
218,275,-0.48120764017252
219,108701,0.2008937859182786
220,28,0.4079925650557621
221,850,0.1895889811175605
222,18510,-0.4554283732223378
223,94,-0.058628566309849
224,23820,-0.2157868302096275
171,2213,0.0185582419477986
130,912,-0.1536293938986352
225,667,-0.3918391839183918
226,876,-0.2148038245961094
227,95196,-0.355239647131539
228,5547,0.1317144098842595
39,326,-0.0325779967159277
229,7009,0.105006818624586
