flow1,flow2,edge1,edge2
-1.0,-0.5833333333333334,"51303,108104","48115,51303"
-1.0,-0.131578947368421,"51454,108296","12215,51454"
1.0,-0.1474358974358974,"61044,61045","21648,61045"
-1.0,-1.0,"61046,61047","50056,61046"
1.0,0.0,"25219,31376","25219,38925"
1.0,1.0,"31384,51943","51943,80050"
-1.0,-0.5454545454545454,"51449,78808","51449,51767"
1.0,-1.0,"31391,83271","42292,83271"
-1.0,-1.0,"7588,51448","51448,63102"
1.0,1.0,"51235,58297","51235,59022"
1.0,0.6190476190476191,"28204,51444","28204,46903"
1.0,0.410958904109589,"25661,51443","25661,52735"
1.0,1.0,"31400,36291","36291,44800"
-1.0,-1.0,"51442,107640","44856,51442"
-1.0,-0.5238095238095238,"51441,71545","51441,57700"
-1.0,-0.2413162705667276,"60662,61043","2184,61043"
-1.0,-1.0,"31323,83207","31323,55792"
1.0,-0.2978723404255319,"32175,51465","32175,35502"
-1.0,-1.0,"31333,83217","24516,31333"
-1.0,-0.5441176470588235,"31336,35183","21000,31336"
-1.0,-0.0704225352112676,"61040,121481","22971,61040"
1.0,0.4893617021276595,"30911,61033","30911,31806"
-1.0,-0.1379310344827586,"61034,121477","17324,61034"
-1.0,-1.0,"61036,121478","43455,61036"
1.0,-0.4333333333333333,"51459,74379","28818,74379"
1.0,-0.4702970297029702,"61038,65036","8759,65036"
1.0,0.6923076923076923,"50649,51440","19804,50649"
-1.0,-1.0,"51439,73113","51439,63262"
1.0,0.0827338129496402,"9625,51426","9625,64562"
1.0,-0.1,"61062,86231","16364,86231"
1.0,1.0,"31460,57449","57449,116482"
1.0,-1.0,"31462,83335","39065,83335"
-1.0,-0.4333333333333333,"51429,93763","40273,51429"
1.0,1.0,"36229,51421","36229,88867"
-1.0,-0.5217391304347826,"51419,108246","51419,54849"
-1.0,-1.0,"51413,108243","51412,51413"
1.0,-1.0,"29784,51407","29784,62954"
1.0,0.3559322033898305,"27872,31486","20707,27872"
1.0,-0.2708333333333333,"61060,108280","33372,108280"
1.0,-0.4444444444444444,"51437,108276","45883,108276"
-1.0,-0.2821316614420062,"51436,53824","9190,51436"
-1.0,-0.0254372019077901,"31407,36649","3309,31407"
-1.0,-1.0,"51435,108274","42699,51435"
-1.0,-0.238095238095238,"51434,99475","37722,51434"
-1.0,-0.4576271186440678,"31420,46335","28146,31420"
1.0,0.3333333333333333,"22461,31430","22461,76591"
-1.0,-0.15625,"24805,61055","38712,61055"
1.0,0.75,"21806,61057","21806,46243"
1.0,0.2921348314606741,"24060,31435","24060,38448"
-1.0,-0.1404494382022472,"21028,51432","9231,51432"
1.0,-1.0,"22633,31436","22633,42665"
-1.0,-0.325,"51306,108107","48578,51306"
1.0,0.5454545454545454,"33831,51300","33831,51892"
-1.0,-0.1566265060240964,"61123,107851","34623,61123"
1.0,-1.0,"42039,51184","42039,54431"
1.0,1.0,"34661,51183","34661,86948"
1.0,-1.0,"24190,61128","24190,58115"
1.0,-0.0,"27591,61129","27591,61191"
1.0,0.4358974358974359,"40850,51178","40850,94426"
1.0,-0.1929260450160771,"31897,43195","12272,43195"
1.0,0.0485436893203883,"13293,51171","13293,124722"
1.0,1.0,"30784,31903","30784,82607"
1.0,0.6046511627906976,"28451,51170","28451,32884"
-1.0,-0.5833333333333334,"31910,83835","31910,47333"
1.0,0.1788617886178861,"25972,61134","25972,84606"
-1.0,-0.6216216216216216,"31915,37446","31915,31916"
1.0,-1.0,"8748,51164","8748,61574"
-1.0,-0.5217391304347826,"61127,121596","53360,61127"
-1.0,-1.0,"31854,83747","31854,34876"
1.0,1.0,"31860,58923","58923,118686"
-1.0,-0.2641509433962264,"51207,107967","45678,51207"
1.0,0.3555555555555555,"25837,31862","25837,95675"
1.0,-0.171875,"51190,107954","33451,107954"
1.0,1.0,"31876,57196","57196,116140"
-1.0,-1.0,"51198,107958","43877,51198"
-1.0,-0.6346153846153846,"51192,107956","23119,51192"
1.0,-1.0,"51191,99034","44405,99034"
-1.0,-0.8333333333333334,"31919,39162","12636,31919"
-1.0,-1.0,"31927,83850","29150,31927"
1.0,-0.072992700729927,"51134,76312","34411,76312"
1.0,-0.320754716981132,"31969,83913","21572,83913"
1.0,1.0,"31971,58455","56406,58455"
1.0,1.0,"45689,51138","45689,100735"
-1.0,-0.0881542699724518,"31979,36764","4244,31979"
1.0,-0.0,"31983,50957","47267,50957"
1.0,-0.5066666666666667,"61142,72855","20843,72855"
1.0,1.0,"43058,51132","39099,43058"
-1.0,-0.5614035087719298,"31992,64278","23850,31992"
-1.0,-0.1896551724137931,"31993,83946","31993,37662"
-1.0,-0.1157894736842105,"51142,104094","29340,51142"
1.0,0.4214285714285715,"20862,31931","19435,20862"
1.0,-0.231578947368421,"31934,63152","18089,63152"
-1.0,-0.4,"31937,34969","27078,31937"
1.0,0.2442996742671009,"8790,31939","8790,66050"
-1.0,-0.5571428571428572,"31940,75253","20259,31940"
1.0,0.2222222222222222,"22436,31961","22436,119092"
-1.0,-0.1048387096774193,"39384,51149","10528,51149"
1.0,1.0,"51145,56920","46209,56920"
1.0,-1.0,"23620,31853","23620,33596"
-1.0,-0.4516129032258064,"31852,36174","26977,31852"
-1.0,-0.1773049645390071,"31736,83623","14156,31736"
1.0,-0.3571428571428571,"51280,100575","39260,100575"
1.0,-1.0,"51278,65455","28460,65455"
1.0,-0.5555555555555556,"18438,51277","18438,44588"
1.0,-0.4545454545454545,"51276,108052","54085,108052"
1.0,-0.6857142857142857,"54833,61103","30655,54833"
-1.0,-0.0660980810234541,"31747,83636","10463,31747"
-1.0,-0.1235955056179775,"22801,61106","30153,61106"
1.0,-0.3823529411764705,"43667,61107","43667,51291"
1.0,-0.1587301587301587,"51272,70375","33711,70375"
-1.0,-0.5517241379310345,"8592,51268","42238,51268"
1.0,-0.6015625,"51283,65885","10642,65885"
1.0,0.2463768115942029,"31684,40843","40843,71131"
1.0,1.0,"29319,51293","29319,80998"
-1.0,-1.0,"61093,70149","37229,61093"
1.0,-0.0982142857142857,"31693,83579","11523,83579"
1.0,-0.3225806451612903,"31726,76898","17689,76898"
-1.0,-0.6363636363636364,"23377,31699","31699,34190"
-1.0,-1.0,"61097,121556","56938,61097"
1.0,1.0,"23724,31716","23724,32822"
-1.0,-0.1846153846153846,"31725,83615","31325,31725"
1.0,-1.0,"23003,31829","23003,47703"
1.0,-0.2448979591836734,"19853,51230","19853,46916"
-1.0,-1.0,"51229,79241","47503,51229"
1.0,-0.4222222222222222,"23892,31832","23892,36944"
1.0,-1.0,"31833,71313","18928,71313"
-1.0,-0.2444444444444444,"31836,83728","22563,31836"
1.0,0.4117647058823529,"36014,51224","36014,103930"
-1.0,-1.0,"31843,36015","27554,31843"
1.0,-0.5555555555555556,"51219,71083","44282,71083"
-1.0,-0.5238095238095238,"61122,121588","56870,61122"
1.0,0.0524781341107871,"5687,61118","5687,92127"
1.0,-0.1645021645021645,"42588,51238","8782,42588"
-1.0,-0.0859375,"51251,108016","26443,51251"
1.0,-0.1736111111111111,"3279,61111","3279,55214"
-1.0,-1.0,"51262,108031","41348,51262"
-1.0,-0.1333333333333333,"51255,108025","35349,51255"
1.0,-0.7936507936507936,"9780,31781","4012,9780"
1.0,0.1020408163265306,"11251,51252","11251,29544"
1.0,1.0,"51239,62230","62104,62230"
-1.0,-1.0,"61115,121574","61115,63165"
1.0,-0.1261104192611042,"6434,51240","6434,22762"
1.0,-1.0,"32569,47692","26067,47692"
1.0,1.0,"50765,50766","45413,50765"
1.0,-1.0,"33475,50531","39984,50531"
-1.0,-1.0,"33477,50354","28913,33477"
1.0,-1.0,"50309,50310","39893,50309"
-1.0,-0.1410788381742738,"50302,106767","10351,50302"
1.0,1.0,"33481,55202","22911,55202"
1.0,0.48,"33491,48762","16249,48762"
1.0,-0.4105263157894737,"50295,72306","17322,72306"
