node1,node2,flow,AFRC,class
52279,97953,1.0,2,0
42809,86576,1.0,2,0
16875,28897,1.0,-6,1
16435,42810,-1.0,-22,1
16882,20208,1.0,-7,1
52284,97957,1.0,2,0
6027,8316,1.0,-14,1
45145,89217,1.0,2,0
42799,86566,1.0,2,0
42801,86568,1.0,3,0
16854,61211,1.0,2,0
389,37494,-1.0,-11,1
27774,35073,-1.0,-4,1
48678,93579,1.0,2,0
6868,52270,-1.0,-11,1
42777,86544,1.0,2,0
42780,86550,1.0,2,0
8966,42779,-1.0,-11,1
39137,43407,1.0,-4,1
48685,93601,1.0,2,0
42781,86552,1.0,2,0
16773,34693,1.0,-7,1
16805,52258,-1.0,-8,1
27055,32679,-1.0,-8,1
30914,32680,-1.0,-4,1
27834,29690,-1.0,-4,1
29691,72218,1.0,2,0
9093,32675,-1.0,-6,1
29696,72226,1.0,2,0
52251,97925,1.0,2,0
1550,16755,-1.0,-16,1
52253,97927,1.0,2,0
29692,72221,1.0,2,0
23499,29685,-1.0,-11,1
41323,84741,1.0,2,0
39867,52266,-1.0,-5,1
15669,39797,-1.0,-12,1
45142,89215,1.0,2,0
1866,42782,-1.0,-7,1
13237,45143,-1.0,-14,1
52268,97944,1.0,2,0
13537,38517,-1.0,-4,1
52264,97941,1.0,2,0
2974,25978,-1.0,-67,1
39667,82843,1.0,2,0
7734,16779,-1.0,-6,1
3585,16780,-1.0,-19,1
8241,45141,-1.0,-10,1
2870,25976,-1.0,-9,1
39140,82225,1.0,2,0
10435,29682,-1.0,-4,1
16785,61161,1.0,2,0
3401,25977,-1.0,-8,1
19140,36513,-1.0,-6,1
9856,36512,-1.0,-4,1
3814,41330,-1.0,-43,1
41340,84774,1.0,2,0
48816,93786,1.0,2,0
52176,97859,1.0,2,0
1007,48815,-1.0,-23,1
36544,79406,1.0,2,0
12556,16439,-1.0,-6,1
16443,60917,1.0,2,0
2737,48814,-1.0,-6,1
42745,86515,1.0,2,0
48811,48812,-1.0,2,0
10770,48819,-1.0,-38,1
962,6317,-1.0,-21,1
5254,35467,-1.0,-5,1
6323,55238,1.0,2,0
359,32608,-1.0,-21,1
48823,93792,1.0,2,0
3551,32612,-1.0,-17,1
18338,52181,-1.0,-12,1
52184,97864,1.0,2,0
23574,48800,-1.0,-5,1
16478,60946,1.0,2,0
8013,16492,-1.0,-10,1
2174,37470,-1.0,-24,1
31519,48801,-1.0,-7,1
1690,16465,-1.0,-14,1
48811,71452,1.0,2,0
25153,67942,1.0,2,0
13703,16454,-1.0,-6,1
6308,8803,1.0,2,0
25152,67941,1.0,2,0
48808,93759,1.0,2,0
15414,36540,-1.0,-8,1
6432,48804,-1.0,-33,1
32615,75192,1.0,2,0
24033,39114,-1.0,-7,1
16494,33190,1.0,4,0
39672,56807,1.0,-4,1
5677,37460,-1.0,-5,1
10428,44739,-1.0,-8,1
8264,26982,-1.0,-6,1
22922,48844,-1.0,-4,1
5548,34692,-1.0,-22,1
2180,16380,-1.0,-30,1
16382,22457,1.0,-5,1
48847,93812,1.0,2,0
35050,47903,1.0,3,0
4288,35049,-1.0,-22,1
39110,42293,1.0,2,0
1458,29805,-1.0,-29,1
875,48852,-1.0,-12,1
616,48850,-1.0,-27,1
44276,88207,1.0,2,0
29796,64217,1.0,3,0
13876,42739,-1.0,-10,1
16403,19387,1.0,2,0
2947,16404,-1.0,3,0
41341,84775,1.0,2,0
9977,37464,-1.0,-10,1
16412,60892,1.0,2,0
32601,75179,1.0,2,0
6449,16413,-1.0,-9,1
114,16416,-1.0,-19,1
32602,75180,1.0,2,0
48828,93798,1.0,2,0
7499,37463,-1.0,-13,1
6351,55247,1.0,2,0
13418,26711,-1.0,-7,1
32595,75171,1.0,2,0
16396,17931,1.0,-5,1
5526,41343,-1.0,-20,1
1483,41342,-1.0,-14,1
48838,93807,1.0,2,0
29790,72293,1.0,2,0
38536,81518,1.0,2,0
52213,97889,1.0,2,0
3711,52214,-1.0,-10,1
48764,93710,1.0,2,0
48760,93708,1.0,2,0
52207,97883,1.0,2,0
32780,48759,-1.0,2,0
3736,45131,-1.0,-29,1
48756,93700,1.0,2,0
48755,93699,1.0,2,0
52212,97888,1.0,2,0
25149,67938,1.0,2,0
3137,6244,-1.0,-35,1
29746,72266,1.0,2,0
40268,42761,-1.0,-4,1
14038,42763,-1.0,-7,1
16576,61010,1.0,2,0
35685,78413,1.0,2,0
48753,93694,1.0,2,0
25148,67933,1.0,2,0
4335,45133,-1.0,-6,1
17572,48739,-1.0,-5,1
29729,72254,1.0,2,0
14867,29728,-1.0,-5,1
32644,75217,1.0,2,0
52222,97903,1.0,2,0
37945,48737,-1.0,-10,1
2155,26699,-1.0,-29,1
14364,41331,-1.0,-8,1
52225,97904,1.0,2,0
38534,81517,1.0,2,0
14492,48751,-1.0,-9,1
48750,93693,1.0,2,0
16688,42764,-1.0,-5,1
9761,29735,-1.0,-15,1
795,48744,-1.0,-33,1
39976,83175,1.0,2,0
52189,97869,1.0,2,0
6541,48778,-1.0,-9,1
15205,32627,-1.0,-7,1
25961,68640,1.0,2,0
48776,93731,1.0,2,0
29791,42752,-1.0,-4,1
45126,70551,1.0,-4,1
42748,86519,1.0,2,0
2560,48789,-1.0,-30,1
29772,32098,1.0,-11,1
29560,52192,-1.0,-7,1
52193,97872,1.0,2,0
4421,48784,-1.0,-22,1
29764,29777,1.0,-4,1
25877,32629,-1.0,-4,1
52203,97881,1.0,2,0
48771,93721,1.0,2,0
19591,52205,-1.0,-5,1
25963,46628,1.0,2,0
6241,48769,-1.0,-10,1
32632,50099,1.0,2,0
6250,55214,1.0,2,0
33320,39977,-1.0,-6,1
34687,77368,1.0,2,0
21591,45128,-1.0,-8,1
32628,75202,1.0,2,0
41334,84765,1.0,3,0
7212,16533,-1.0,-13,1
16534,60987,1.0,2,0
10466,37472,-1.0,-5,1
37473,80410,1.0,2,0
13145,37474,-1.0,-5,1
1640,42756,-1.0,-39,1
45074,89131,1.0,2,0
37381,80334,1.0,2,0
4577,41447,-1.0,-20,1
7113,55569,1.0,2,0
49283,78547,1.0,3,0
40198,83384,1.0,2,0
41444,84912,1.0,2,0
15161,19781,1.0,-8,1
28258,51901,-1.0,-5,1
5262,25895,-1.0,-10,1
15163,60082,1.0,-4,1
11019,30146,-1.0,-10,1
3390,41446,-1.0,-7,1
41445,84913,1.0,2,0
8901,25261,-1.0,-26,1
534,15143,-1.0,-71,1
22189,51895,-1.0,-29,1
42601,86348,1.0,2,0
51898,97482,1.0,2,0
32273,74875,1.0,2,0
51942,97531,1.0,2,0
51913,58234,1.0,-6,1
49272,94285,1.0,2,0
14233,32281,-1.0,-7,1
49270,94281,1.0,2,0
49269,94280,1.0,2,0
8075,40200,-1.0,-6,1
49261,94276,1.0,2,0
8260,49259,-1.0,-13,1
22199,42609,-1.0,-6,1
51904,97494,1.0,2,0
36407,51905,-1.0,3,0
39995,83196,1.0,2,0
31304,36643,-1.0,-5,1
3438,25267,-1.0,-6,1
42589,86312,1.0,2,0
49308,58949,1.0,2,0
26444,42590,-1.0,-4,1
30166,72653,1.0,2,0
12638,32268,-1.0,-11,1
40197,83380,1.0,2,0
49305,94326,1.0,2,0
36642,79540,1.0,2,0
7144,55587,1.0,2,0
17004,51881,-1.0,-7,1
7161,55595,1.0,2,0
30169,72655,1.0,2,0
40196,83379,1.0,2,0
8990,15080,-1.0,-6,1
6753,15084,-1.0,-23,1
15085,60027,1.0,2,0
32258,34856,1.0,-5,1
6055,15101,-1.0,-18,1
15106,23302,1.0,4,0
28540,42598,-1.0,-6,1
24883,49295,-1.0,-4,1
16683,49293,-1.0,2,0
49292,94316,1.0,2,0
15135,60063,1.0,2,0
17455,51892,-1.0,-8,1
30154,72631,1.0,2,0
15138,60065,1.0,2,0
3848,30157,-1.0,-15,1
5740,49303,-1.0,-21,1
376,15108,-1.0,-27,1
36640,79533,1.0,2,0
17272,37374,-1.0,-8,1
37375,80328,1.0,2,0
5564,42596,-1.0,-34,1
32262,74865,1.0,2,0
11803,49257,-1.0,-9,1
22317,41436,-1.0,-7,1
35009,77718,1.0,2,0
1744,32311,-1.0,-11,1
32313,74905,1.0,2,0
14029,26725,-1.0,-7,1
51936,97522,1.0,2,0
49232,94243,1.0,2,0
39058,82147,1.0,2,0
25250,52553,1.0,-4,1
4606,51932,-1.0,-19,1
7997,42625,-1.0,-9,1
15305,60173,1.0,2,0
41435,84906,1.0,2,0
37851,40202,-1.0,-13,1
1097,25244,-1.0,-13,1
32321,74913,1.0,2,0
32322,74914,1.0,2,0
51941,97528,1.0,2,0
42627,86373,1.0,2,0
15209,42630,-1.0,-5,1
49223,94234,1.0,2,0
15345,60192,1.0,2,0
25241,68021,1.0,2,0
42631,86375,1.0,-5,1
15334,57154,1.0,2,0
25246,68025,1.0,2,0
37855,49226,-1.0,-5,1
769,51938,-1.0,-16,1
49225,94239,1.0,2,0
30094,72578,1.0,2,0
30092,72576,1.0,2,0
753,15327,-1.0,-20,1
25245,68023,1.0,2,0
51939,97526,1.0,2,0
51940,97527,1.0,2,0
32318,74911,1.0,2,0
14595,15331,-1.0,-9,1
3707,25904,-1.0,-10,1
30123,72605,1.0,2,0
30122,72604,1.0,2,0
5355,51921,-1.0,-18,1
13110,35669,-1.0,-8,1
8075,51923,-1.0,-6,1
25255,68033,1.0,2,0
51924,97510,1.0,2,0
25579,49251,-1.0,-5,1
34925,49254,-1.0,-5,1
15562,41443,-1.0,-6,1
26945,69565,1.0,2,0
51915,97505,1.0,2,0
15215,60119,1.0,2,0
33321,51917,-1.0,-4,1
730,26728,-1.0,-318,1
42615,74696,1.0,2,0
30127,72609,1.0,2,0
44405,88369,1.0,2,0
32296,74893,1.0,2,0
10117,51928,-1.0,-6,1
15271,60153,1.0,2,0
1827,7046,-1.0,-16,1
45078,89133,1.0,2,0
